Date,Title,Link,Source,source
2023-02-16 16:30:00,Lithium Americas Announces Initial Closing of $650 Million Investment from General Motors,https://finance.yahoo.com/news/lithium-americas-announces-initial-closing-213000829.html,finance.yahoo,
2023-02-16 14:21:00,Sec. Pete Buttigieg to Tesla Full Self-Driving fans: Keep your hands on the wheel,https://finance.yahoo.com/news/sec-pete-buttigieg-to-tesla-full-self-driving-fans-keep-your-hands-on-the-wheel-192142060.html,finance.yahoo,
2023-02-16 12:36:00,"UPDATE 1-GM sees no slowdown yet, expects hit from China's COVID situation",https://finance.yahoo.com/news/1-gm-sees-no-slowdown-173626103.html,finance.yahoo,
2023-02-16 12:15:00,"GM sees no slowdown yet, expects hit from China's COVID situation",https://finance.yahoo.com/news/gm-expects-chinas-covid-situation-171508330.html,finance.yahoo,
2023-02-16 11:25:00,Tesla beats BMW as top luxury brand in U.S. for first time,https://finance.yahoo.com/news/tesla-beats-bmw-as-top-luxury-brand-in-us-for-first-time-162555415.html,finance.yahoo,
2023-02-16 09:40:00,"Tesla to open 7,500 charging stations to rival EVs by late 2024",https://finance.yahoo.com/video/tesla-open-7-500-charging-144050157.html,finance.yahoo,
2023-02-16 07:23:00,10 Best Long-Term Stocks To Buy According To Warren Buffett,https://finance.yahoo.com/news/10-best-long-term-stocks-122309034.html,finance.yahoo,
2023-02-15 17:08:00,12 Most Promising EV Stocks According to Analysts,https://finance.yahoo.com/news/12-most-promising-ev-stocks-220820504.html,finance.yahoo,
2023-02-15 16:27:00,Barclays analysts tap Tesla as top pick in EV sector,https://finance.yahoo.com/video/barclays-analysts-tap-tesla-top-212736827.html,finance.yahoo,
2023-02-15 16:03:00,"Chipmaker Blasts Into Buy Zone On IoT Expansion, 700% Growth",https://finance.yahoo.com/m/0abdfe8c-ac76-3a5c-8072-62584ca5e944/chipmaker-blasts-into-buy.html,finance.yahoo,
2023-02-15 13:02:00,Tesla stands out as top pick in sector; Rivian closest to being the next Tesla: Barclays,https://finance.yahoo.com/news/tesla-stands-out-as-top-pick-in-sector-rivian-closest-to-being-the-next-tesla-barclays-180232207.html,finance.yahoo,
2023-02-15 10:37:00,"Tesla stands out by this analysis, and that has earned its stock a bullish rating",https://finance.yahoo.com/m/068c00b0-1d75-3ec9-a100-9ec0bdcac285/tesla-%E2%80%98stands-out%E2%80%99-by-this.html,finance.yahoo,
2023-02-15 10:33:00,Tesla has a key advantage that has earned its stock a bullish rating,https://finance.yahoo.com/m/068c00b0-1d75-3ec9-a100-9ec0bdcac285/tesla-has-a-%E2%80%98key-advantage%E2%80%99.html,finance.yahoo,
2023-02-14 11:16:00,New car prices push higher as used vehicle prices keep slipping,https://finance.yahoo.com/news/new-car-prices-push-higher-as-used-vehicle-prices-keep-slipping-161627155.html,finance.yahoo,
2023-02-13 09:41:00,"Toyota (TM) Q3 Earnings Surpass Estimates, Fall 25% Y/Y",https://finance.yahoo.com/news/toyota-tm-q3-earnings-surpass-144102154.html,finance.yahoo,
2023-02-13 06:00:00,3 Smart Stocks to Buy Now (While Everyone Else Hates Them),https://finance.yahoo.com/news/3-smart-stocks-buy-now-110030842.html,finance.yahoo,
2023-02-12 07:42:00,7 Stocks to Buy and Hold for the Next 20 Years,https://finance.yahoo.com/news/7-stocks-buy-hold-next-124254254.html,finance.yahoo,
2023-02-12 05:12:00,3 Hot Stocks That Are Absurdly Cheap Right Now,https://finance.yahoo.com/m/473d9bf2-b4c3-3b63-ad33-0d3aa9258e0d/3-hot-stocks-that-are.html,finance.yahoo,
2023-02-11 09:42:00,Super Bowl 2023: Everything you need to know about the finances and the big game,https://finance.yahoo.com/video/super-bowl-2023-everything-know-144253232.html,finance.yahoo,
2023-02-11 09:00:00,What Big Auto Companies Are Telling Us About EVs,https://finance.yahoo.com/news/big-auto-companies-telling-us-140042462.html,finance.yahoo,
2023-02-11 06:50:00,Best Stock To Buy: Ford Stock vs. GM Stock,https://finance.yahoo.com/m/ae481591-10f5-3c09-b110-b146ed9aede0/best-stock-to-buy%3A-ford-stock.html,finance.yahoo,
2023-02-10 09:39:00,10 Best Three-Row SUVs in 2023,https://finance.yahoo.com/news/10-best-three-row-suvs-143927426.html,finance.yahoo,
2023-02-10 05:30:00,"Finance Chiefs, Facing Another Year of Persistent Inflation, Prioritize Cost Savings",https://finance.yahoo.com/m/063430f5-725c-3ac6-8c4d-55c38b05b4b4/finance-chiefs%2C-facing.html,finance.yahoo,
2023-02-09 16:25:00,"Lucid set to pay $7,500 credit to customers for high-end EV models",https://finance.yahoo.com/video/lucid-set-pay-7-500-212516844.html,finance.yahoo,
