Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
Fairhead Rona Alison,Director,Feb 03,Sale,89.82,8080.0,725749.0,11197.0,Feb 06 08:13 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760223003590/xslF345X03/form4.xml,1390276
HENLEY JEFFREY,Vice Chairman,Dec 14,Option Exercise,30.11,400000.0,12044000.0,2192688.0,Dec 16 01:21 PM,http://www.sec.gov/Archives/edgar/data/1206100/000112760222027604/xslF345X03/form4.xml,1206100
HENLEY JEFFREY,Vice Chairman,Dec 14,Sale,82.0,400000.0,32800181.0,1792688.0,Dec 16 01:21 PM,http://www.sec.gov/Archives/edgar/data/1206100/000112760222027604/xslF345X03/form4.xml,1206100
BOSKIN MICHAEL J,Director,Nov 15,Option Exercise,33.78,90000.0,3040200.0,172607.0,Nov 16 04:45 PM,http://www.sec.gov/Archives/edgar/data/1120621/000112760222025791/xslF345X03/form4.xml,1120621
BOSKIN MICHAEL J,Director,Nov 15,Sale,80.08,90000.0,7206786.0,82607.0,Nov 16 04:45 PM,http://www.sec.gov/Archives/edgar/data/1120621/000112760222025791/xslF345X03/form4.xml,1120621
Screven Edward,Chief Corporate Architect,Oct 27,Option Exercise,32.17,200000.0,6435000.0,2743033.0,Oct 27 07:09 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222024442/xslF345X03/form4.xml,1723056
Screven Edward,Chief Corporate Architect,Oct 27,Sale,74.9,200000.0,14979200.0,2543033.0,Oct 27 07:09 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222024442/xslF345X03/form4.xml,1723056
Screven Edward,Chief Corporate Architect,Aug 04,Option Exercise,0.0,50000.0,0.0,2567823.0,Aug 05 02:04 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222020542/xslF345X03/form4.xml,1723056
HENLEY JEFFREY,Vice Chairman,Aug 04,Option Exercise,0.0,25000.0,0.0,1802887.0,Aug 05 02:06 PM,http://www.sec.gov/Archives/edgar/data/1206100/000112760222020543/xslF345X03/form4.xml,1206100
Daley Dorian,EVP and General Counsel,Aug 04,Option Exercise,0.0,43750.0,0.0,383618.0,Aug 05 02:07 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222020544/xslF345X03/form4.xml,1414813
West W Corey,"Controller, EVP, CAO",Aug 04,Option Exercise,0.0,25000.0,0.0,214149.0,Aug 05 02:09 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222020546/xslF345X03/form4.xml,1393537
West W Corey,"Controller, EVP, CAO",Aug 03,Option Exercise,0.0,25000.0,0.0,201545.0,Aug 05 02:09 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222020546/xslF345X03/form4.xml,1393537
Daley Dorian,EVP and General Counsel,Aug 03,Option Exercise,0.0,37500.0,0.0,358461.0,Aug 05 02:07 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222020544/xslF345X03/form4.xml,1414813
HENLEY JEFFREY,Vice Chairman,Aug 03,Option Exercise,0.0,25000.0,0.0,1787725.0,Aug 05 02:06 PM,http://www.sec.gov/Archives/edgar/data/1206100/000112760222020543/xslF345X03/form4.xml,1206100
Screven Edward,Chief Corporate Architect,Aug 03,Option Exercise,0.0,50000.0,0.0,2542613.0,Aug 05 02:04 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222020542/xslF345X03/form4.xml,1723056
Screven Edward,Chief Corporate Architect,Jun 29,Option Exercise,29.72,419174.0,12457851.0,2911787.0,Jun 29 07:09 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222018247/xslF345X03/form4.xml,1723056
Screven Edward,Chief Corporate Architect,Jun 29,Sale,69.22,419174.0,29015224.0,2492613.0,Jun 29 07:09 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222018247/xslF345X03/form4.xml,1723056
Screven Edward,Chief Corporate Architect,Jun 28,Option Exercise,29.72,280826.0,8346149.0,2773439.0,Jun 29 07:09 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222018247/xslF345X03/form4.xml,1723056
Screven Edward,Chief Corporate Architect,Jun 28,Sale,70.84,280826.0,19893826.0,2492613.0,Jun 29 07:09 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222018247/xslF345X03/form4.xml,1723056
West W Corey,"Controller, EVP, CAO",Jun 27,Option Exercise,0.0,40938.0,0.0,194722.0,Jun 28 08:51 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222018236/xslF345X03/form4.xml,1393537
HENLEY JEFFREY,Vice Chairman,Jun 27,Option Exercise,0.0,25000.0,0.0,1771647.0,Jun 28 08:49 PM,http://www.sec.gov/Archives/edgar/data/1206100/000112760222018234/xslF345X03/form4.xml,1206100
Screven Edward,Chief Corporate Architect,Jun 27,Option Exercise,0.0,62500.0,0.0,2521479.0,Jun 29 07:09 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222018247/xslF345X03/form4.xml,1723056
Daley Dorian,EVP and General Counsel,Jun 27,Option Exercise,0.0,83125.0,0.0,360053.0,Jun 28 08:50 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222018235/xslF345X03/form4.xml,1414813
CATZ SAFRA,Chief Executive Officer,Jun 24,Option Exercise,29.72,980000.0,29125600.0,2098592.0,Jun 24 07:19 PM,http://www.sec.gov/Archives/edgar/data/1205005/000112760222018145/xslF345X03/form4.xml,1205005
CATZ SAFRA,Chief Executive Officer,Jun 24,Sale,69.8,980000.0,68408454.0,1118592.0,Jun 24 07:19 PM,http://www.sec.gov/Archives/edgar/data/1205005/000112760222018145/xslF345X03/form4.xml,1205005
CATZ SAFRA,Chief Executive Officer,Jun 23,Option Exercise,29.72,1000000.0,29720000.0,2118592.0,Jun 24 07:19 PM,http://www.sec.gov/Archives/edgar/data/1205005/000112760222018145/xslF345X03/form4.xml,1205005
CATZ SAFRA,Chief Executive Officer,Jun 23,Sale,67.13,1000000.0,67125862.0,1118592.0,Jun 24 07:19 PM,http://www.sec.gov/Archives/edgar/data/1205005/000112760222018145/xslF345X03/form4.xml,1205005
CATZ SAFRA,Chief Executive Officer,Jun 22,Option Exercise,29.72,1000000.0,29720000.0,2118592.0,Jun 22 07:31 PM,http://www.sec.gov/Archives/edgar/data/1205005/000112760222017995/xslF345X03/form4.xml,1205005
CATZ SAFRA,Chief Executive Officer,Jun 22,Sale,66.87,1000000.0,66870735.0,1118592.0,Jun 22 07:31 PM,http://www.sec.gov/Archives/edgar/data/1205005/000112760222017995/xslF345X03/form4.xml,1205005
ELLISON LAWRENCE JOSEPH,Executive Chairman,Jun 21,Option Exercise,29.72,7000000.0,208040000.0,1145732353.0,Jun 23 05:48 PM,http://www.sec.gov/Archives/edgar/data/901999/000112760222018077/xslF345X03/form4.xml,901999
CATZ SAFRA,Chief Executive Officer,Jun 21,Option Exercise,29.72,1020000.0,30314400.0,2138592.0,Jun 22 07:31 PM,http://www.sec.gov/Archives/edgar/data/1205005/000112760222017995/xslF345X03/form4.xml,1205005
CATZ SAFRA,Chief Executive Officer,Jun 21,Sale,68.12,1020000.0,69483419.0,1118592.0,Jun 22 07:31 PM,http://www.sec.gov/Archives/edgar/data/1205005/000112760222017995/xslF345X03/form4.xml,1205005
CATZ SAFRA,Chief Executive Officer,Jun 17,Option Exercise,29.72,1000000.0,29720000.0,2118592.0,Jun 22 07:31 PM,http://www.sec.gov/Archives/edgar/data/1205005/000112760222017995/xslF345X03/form4.xml,1205005
CATZ SAFRA,Chief Executive Officer,Jun 17,Sale,68.08,1000000.0,68081531.0,1118592.0,Jun 22 07:31 PM,http://www.sec.gov/Archives/edgar/data/1205005/000112760222017995/xslF345X03/form4.xml,1205005
James Renee Jo,Director,Apr 04,Sale,84.11,6000.0,504663.0,41886.0,Apr 04 09:06 PM,http://www.sec.gov/Archives/edgar/data/1341439/000112760222011369/xslF345X03/form4.xml,1412439
