Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
Rowley Stuart J.,Chief Transform. & Quality Off,Nov 16,Option Exercise,12.75,29821.0,380218.0,254799.0,Nov 17 04:42 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122057578/xslF345X03/doc4.xml,1545023
Rowley Stuart J.,Chief Transform. & Quality Off,Nov 16,Sale,13.97,29821.0,416617.0,224978.0,Nov 17 04:42 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122057578/xslF345X03/doc4.xml,1545023
Galhotra Ashwani Kumar,"President, Ford Blue",May 24,Option Exercise,10.12,25892.0,262027.0,537497.0,May 26 04:53 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122032237/xslF345X03/doc4.xml,1720106
Galhotra Ashwani Kumar,"President, Ford Blue",May 24,Sale,12.41,25892.0,321340.0,511605.0,May 26 04:53 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122032237/xslF345X03/doc4.xml,1720106
FORD MOTOR CO,10% Owner,May 13,Sale,26.88,7000000.0,188165600.0,86947494.0,May 13 08:48 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122029015/xslF345X03/doc4.xml,37996
FORD MOTOR CO,10% Owner,May 09,Sale,26.8,8000000.0,214400000.0,93947494.0,May 10 08:48 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122028185/xslF345X03/doc4.xml,37996
FORD WILLIAM CLAY JR,Executive Chair and Chair,Mar 24,Buy,16.81,267697.0,4499987.0,4221936.0,Mar 28 04:11 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122021307/xslF345X03/doc4.xml,1230846
FARLEY JR JAMES D,President and CEO,Mar 03,Option Exercise,8.01,185343.0,1484374.0,1454999.0,Mar 04 04:09 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122016203/xslF345X03/doc4.xml,1415834
FARLEY JR JAMES D,President and CEO,Mar 03,Sale,17.85,185343.0,3308929.0,1269656.0,Mar 04 04:09 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122016203/xslF345X03/doc4.xml,1415834
Galhotra Ashwani Kumar,"President, Americas and IMG",Feb 18,Option Exercise,11.98,18357.0,219888.0,356691.0,Feb 22 05:02 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122011759/xslF345X03/doc4.xml,1720106
FARLEY JR JAMES D,President and CEO,Feb 18,Option Exercise,12.46,8025.0,99992.0,1275198.0,Feb 22 05:01 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122011739/xslF345X03/doc4.xml,1415834
Thai-Tang Hau N,Chief Prod Plat & Ops Officer,Feb 17,Option Exercise,12.46,37414.0,466178.0,706331.0,Feb 22 05:04 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122011766/xslF345X03/doc4.xml,1582109
Lawler John T.,"Vice President, CFO",Feb 15,Option Exercise,12.46,14579.0,181654.0,288540.0,Feb 17 04:55 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122010828/xslF345X03/doc4.xml,1676526
