Ticker,Description
BPOP,"Popular, Inc., through its subsidiaries, provides various retail, mortgage, and commercial banking products and services in Puerto Rico, the United States, and British Virgin Islands. The company provides savings, NOW, money market, and other interest-bearing demand accounts; non-interest bearing demand deposits; and certificates of deposit. It also offers commercial and industrial, commercial multi-family, commercial real estate, and residential mortgage loans; consumer loans, including personal loans, credit cards, automobile loans, home equity lines of credit, and other loans to individual borrowers; construction loans; and lease financing comprising automobile loans/leases. In addition, the company provides investment banking, auto and equipment leasing and financing, broker-dealer, and insurance services; debit cards; and online banking services. As of December 31, 2021, it operated 169 branches; and 616 ATMs in Puerto Rico, 23 ATMs in the Virgin Islands, and 91 ATMs in the United States Mainland. Popular, Inc. was founded in 1893 and is headquartered in Hato Rey, Puerto Rico."
NVX,"Novonix Limited develops and supplies battery materials, equipment, and services to the lithium-ion battery market in North America. It operates through three segments: Graphite Exploration and Mining, Battery Technology, and Battery Materials. The Graphite Exploration and Mining segment explores for graphite in Australia. The Battery Technology segment develops battery cell testing equipment and batteries, and consulting services. The Battery Materials segment develops and manufactures battery anode materials. The company is also involved in the investment and battery testing activities. The company was formerly known as Graphitecorp Limited and changed its name to Novonix Limited in July 2017. Novonix Limited was incorporated in 2012 and is based in Brisbane, Australia."
LUCD,"Lucid Diagnostics Inc. operates as a commercial-stage medical diagnostics technology company. The company focuses on patients with gastroesophageal reflux disease, which is also known as chronic heartburn, acid reflux, or simply reflux, who are at risk of developing esophageal precancer and cancer, specifically highly lethal esophageal adenocarcinoma. Its lead products include EsoGuard, a laboratory developed esophageal DNA test; and EsoCheck, an esophageal cell collection device. The company was incorporated in 2018 and is based in New York, New York. Lucid Diagnostics Inc. is a subsidiary of PAVmed Inc."
TRMR,"Tremor International Ltd. provides end-to-end software platform that enables advertisers to reach relevant audiences and publishers. The company's demand side platform (DSP) offers full-service and self-managed marketplace access to advertisers and agencies in order to execute their digital marketing campaigns in real time across various ad formats. Its sell supply side platform (SSP) provides access to data and a comprehensive product suite to drive inventory management and revenue optimization. The company also offers data management platform solution, which integrates DSP and SSP solutions enabling advertisers and publishers to use data from various sources in order to optimize results of their advertising campaigns. It serves Ad buyers, advertisers, brands, agencies, and digital publishers in Israel, the United States, the Asia-Pacific, Europe, the Middle East, and Africa. The company was formerly known as Taptica International Ltd. and changed its name to Tremor International Ltd. in September 2015. Tremor International Ltd. was incorporated in 2007 and is headquartered in Tel Aviv-Yafo, Israel."
SPIR,"Spire Global, Inc. develops a hardware and intelligent analytics platform that tracks the oceans, skies, and weather. It serves maritime, weather, aviation, space services, earth intelligence, and federal industries. Spire Global, Inc. has a strategic partnership with TAC Index Limited. Spire Global, Inc. was formerly known as Nanosatisfi, Inc. and changed its name to Spire Global, Inc. in July 2014. The company was incorporated in 2012 and is based in San Francisco, California with additional offices in Boulder, Colorado; Washington, D.C.; Glasgow, United Kingdom; Luxembourg; and Singapore."
WAVD,"WaveDancer, Inc. engages in development and maintenance of information technology systems, modernizing client information systems, and offers other IT-related professional services to government and commercial organizations in the United States. It also offers secure supply chain management software solution; and software development, system modernizations, cloud-based solutions, and cybersecurity services. The company was formerly known as Information Analysis Incorporated and changed its name to WaveDancer, Inc. in December 2021. WaveDancer, Inc. was incorporated in 1979 and is headquartered in Fairfax, Virginia."
CPNG,"Coupang, Inc. owns and operates in e-commerce business through its mobile applications and Internet websites primarily in South Korea. It operates through two segments, Product Commerce and Growth Initiatives. The company sells various products and services in the categories of home goods and decor products, apparel, beauty products, fresh food and groceries, sporting goods, electronics, and everyday consumables, as well as travel, and restaurant order and delivery services. It also performs operations and support services in China, Singapore, Japan, Taiwan, and the United States. Coupang, Inc. was incorporated in 2010 and is headquartered in Seoul, South Korea."
XERS,"Xeris Biopharma Holdings, Inc., a biopharmaceutical company, engages in developing and commercializing therapies for patient populations in endocrinology, neurology, and gastroenterology. The company markets Gvoke, a ready-to-use liquid glucagon for the treatment of severe hypoglycemia; and Keveyis, a therapy for the treatment of hyperkalemic, hypokalemic, and related variants of primary periodic paralysis; and Recorlev, a cortisol synthesis inhibitor proved for the treatment of endogenous hypercortisolemia in adult patients with Cushing's syndrome. It also has a pipeline of development programs to extend the marketed products into new indications and uses and bring new products using its proprietary formulation technology platforms, XeriSol and XeriJect. The company was incorporated in 2005 and is headquartered in Chicago, Illinois."
CZNC,"Citizens & Northern Corporation operates as the bank holding company for Citizens & Northern Bank that provides a range of banking and mortgage services to individual and corporate customers. The company offers lending products include commercial, mortgage, and consumer loans, as well as specialized instruments, such as commercial letters-of-credit; and deposit products, including various types of checking accounts, passbook and statement savings accounts, money market accounts, interest checking accounts, individual retirement accounts, and certificates of deposits. It also offers wealth management services, including administration of trusts and estates, retirement plans, and other employee benefit plans, and investment management services; and a range of personal and commercial insurance products; mutual funds, annuities, educational savings accounts, and other investment products through registered agents. In addition, the company reinsures credit and mortgage, life and accident, and health insurance products. As of December 31, 2021, it had 31 branch offices, including 23 in the Northern tier/Northcentral region of Pennsylvania, 2 in the Southern tier of New York State, 4 in Southeastern Pennsylvania, and 2 in Southcentral Pennsylvania, as well as a lending office in Elmira, New York. The company was founded in 1864 and is based in Wellsboro, Pennsylvania."
UAE,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the equity market in the United Arab Emirates (""UAE""). The fund is non-diversified."
FSR,"Fisker Inc. develops, manufactures, markets, leases, or sale of electric vehicles. The company is also involved in asset-light automotive business. It operates through The White Space, The Value Segment, and The Conservative Premium segments. In addition, the company offers fisker flexible platform agnostic design ,a process that develops and designs electric vehicles in specific segment size. The company was incorporated in 2016 and is headquartered in Manhattan Beach, California."
DIT,"AMCON Distributing Company, together with its subsidiaries, engages in the wholesale distribution of consumer products in the Central, Rocky Mountain, and Mid-South regions of the United States. It operates through Wholesale Distribution and Retail Health Food segments. The Wholesale Distribution segment distributes consumer products, including cigarettes and tobacco products, candy and other confectionery, beverages, groceries, paper products, health and beauty care products, frozen and refrigerated products, and institutional foodservice products. It serves retailers, such as convenience stores, discount and general merchandise stores, grocery stores, drug stores, liquor stores, tobacco shops, and gas stations; and institutional customers, including restaurants and bars, schools, and sports complexes, as well as other wholesalers. This segment also markets private label lines of water, candy products, batteries, and other products. In addition, the Retail Health Food segment is involved in the retail of natural, organic, and specialty foods consisting of produce, baked goods, frozen foods, nutritional supplements, personal care items, and general merchandise. Further, the company operates twenty retail health food stores under the Chamberlin's Natural Foods, Akin's Natural Foods, and Earth Origins Market brands. AMCON Distributing Company was incorporated in 1986 and is based in Omaha, Nebraska."
IROQ,"IF Bancorp, Inc. operates as the savings and loan holding company for Iroquois Federal Savings and Loan Association that provides a range of banking and financial services to individual and corporate clients. The company offers various deposit accounts, including savings accounts, certificates of deposit, money market accounts, commercial and personal checking accounts, individual retirement accounts, and health savings accounts. It also provides loans comprising one- to four-family residential mortgage loans; multi-family mortgage loans; commercial real estate loans, such as farm loans; home equity lines of credit; commercial business loans; and consumer loans primarily comprising automobile loans, as well as construction loans and land development loans. In addition, the company sells property and casualty insurance, as well as offers annuities; mutual funds; individual and group retirement plans; life, disability, and health insurance; individual securities; managed accounts; and other financial services. Further, it invests in securities; and provides ATM, online banking and bill pay, mobile banking, ACH origination, remote deposit capture, and telephone banking services. The company operates a network of seven full-service banking offices located in Watseka, Danville, Clifton, Hoopeston, Savoy, Bourbonnais, and Champaign, Illinois; and a loan production and wealth management office in Osage Beach, Missouri. IF Bancorp, Inc. was founded in 1883 and is headquartered in Watseka, Illinois."
SCU,"Sculptor Capital Management, Inc. is a publicly owned hedge fund sponsor. The firm provides investment advisory services to its clients. It primarily caters to institutional investors, which include pension funds, fund-of-funds, foundations and endowments, corporations and other institutions, private banks and family offices. The firm also manages separate client-focused equity, fixed income, and real estate separate accounts. It also manages commingled funds and specialized products. The firm invests in equity, fixed income and real estate markets across the world. It employs quantitative and qualitative analysis to make its investments through a combination of fundamental bottom-up research, a high degree of flexibility, and integrated risk management. For its multi-strategy portfolios, the firm employs strategies like convertible and derivative arbitrage, corporate credit, long/short equity special situations, buyout investments, merger arbitrage, private investments, and structured credit. It also invests in real estate and traditional real estate assets including multifamily, office, hotel and retail, loans, portfolio acquisitions, loan pools, operating companies, structured debt products, public securities, and non-traditional real estate assets including gaming, distressed land and residential, cell towers, parking, golf, debt and senior housing. For private equity investments, it considers investments in a variety of special situations that seek to realize value through strategic sales or initial public offerings. The firm was previously known as Och-Ziff Capital Management Group Inc. Sculptor Capital Management, Inc. was founded in 1994 and is based New York, New York."
LGSTW,"Semper Paratus Acquisition Corporation focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. It intends to pursue an acquisition opportunity in the transportation, supply chain, and logistics industry. The company was incorporated in 2021 and is based in New York, New York."
CUBI,"Customers Bancorp, Inc. operates as the bank holding company for Customers Bank that provides financial products and services to individual consumers, and small and middle market businesses. The company offers deposits products, including checking, savings, MMDA, and other deposits accounts. It offers loan products, including commercial mortgage warehouse loans, multi-family and commercial real estate loans, business banking, small business loans, equipment financing, residential mortgage loans, and installment loans. It also offers traditional banking activities, including mobile phone banking, internet banking, wire transfers, electronic bill payment, lock box services, remote deposit capture services, courier services, merchant processing services, cash vault, controlled disbursements, positive pay, cash management services, such as account reconciliation, collections, and sweep accounts. It operates 12 full-service branches, as well as limited production and administrative offices in Southeastern Pennsylvania, including Bucks, Berks, Chester, Philadelphia, and Delaware Counties; Harrisburg, Pennsylvania; Rye Brook and New York; Hamilton, New Jersey; Boston, Massachusetts; Providence, Rhode Island; Portsmouth, New Hampshire; Manhattan and Melville, New York; Washington D.C.; Chicago, Illinois; Dallas, Texas; Orlando, Florida; and Wilmington, North Carolina. Customers Bancorp, Inc. was founded in 1994 and is headquartered in West Reading, Pennsylvania."
FPX,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index seeks to measure the performance of equity securities of the 100 typically largest and most liquid initial public offerings (""IPOs"") (including spin-offs and equity carve-outs) of U.S. companies. It is non-diversified."
ALAR,"Alarum Technologies Ltd. provides cybersecurity and privacy solutions to consumers and enterprises in Israel, the United States, Hong Kong, the Asia Pacific, and internationally. Its cybersecurity solutions comprise iShield, a cybersecurity cloud software that protects users from online threats, including phishing, malware, ransomware and others; AdBlocker, an iOS application for an ad-free internet experience; ZoneZero SDP, a solution based on software defined perimeter and zero trust network access concepts that grant access to applications on a need-to-know basis only; ZoneZero MFA, a solution designed to add centralized multi-factor authentication capabilities for various types of internal applications; and SDE, which is designed to unify various data exchange scenarios of an organization. The company also provides Proxy solutions consisting of static and dynamic residential proxy network cloud services, data center proxy network cloud services, and data collection API cloud services; Proxy-in-a-Box, an on-premise solution of private proxy access network for customers who wish to deploy and maintain their own proxy network; and Premium dedicated static residential proxies, a solution that creates a dedicated static IP for each user. It offers its products through resellers, distributors, and internet service providers. The company serves finance, healthcare, and retail sectors; and government agencies, commercial and online companies, and educational institutions. The company was formerly known as Safe-T Group Ltd. and changed its name to Alarum Technologies Ltd. in January 2023. Alarum Technologies Ltd. was founded in 2013 and is headquartered in Tel Aviv-Yafo, Israel."
EIS,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index rhat is designed to measure the performance of the large-, mid- and small-capitalization segments of the equity market in Israel. The fund is non-diversified."
GDOT,"Green Dot Corporation, a financial technology and bank holding company, provides various financial products to consumers and businesses in the United States. It operates through three segments: Consumer Services, Business to Business Services, and Money Movement Services. The company offers deposit account programs, including consumer and small business checking account products, network-branded reloadable prepaid debit cards and gift cards, and secured credit programs. It also provides money processing services, such as cash transfer services that enable consumers to deposit or pick up cash and pay bills with cash at the point-of-sale at any participating retailer; and simply paid disbursement services, which enable wages and authorized funds disbursement to its deposit account programs and accounts issued by any third-party bank or program manager. In addition, the company offers tax processing services comprising tax refund transfers, which provide the processing technology to facilitate receipt of a taxpayers' refund proceeds; small business lending to independent tax preparation providers that seek small advances; and fast cash advance, a loan that enables tax refund recipients. Green Dot Corporation was incorporated in 1999 and is headquartered in Austin, Texas."
DXYN,"The Dixie Group, Inc. manufactures, markets, and sells floorcovering products to residential customers in North America and internationally. It offers residential carpets, custom rugs, and engineered wood products under the Fabrica brand for interior decorators and designers, selected retailers and furniture stores, luxury home builders, and manufacturers of luxury motor coaches and yachts; and specialty carpets and rugs for the high-end residential marketplace, as well as luxury vinyl flooring products and broadloom carpet products under the Masland Residential brand name through the interior design community and specialty floorcovering retailers. The company also provides residential tufted broadloom carpets and rugs to selected retailers and home centers under the Dixie Home and private label brands, as well as luxury vinyl flooring products to the marketplace it serves. The company was founded in 1920 and is based in Dalton, Georgia."
