Ticker,Company,Sector,Industry,Country,Market_Cap,P_E,Price,Change,Volume,Signals,NoOf_Signals,Index,EPS_(ttm),Insider_Own(%),Shs_Outstand,Perf_Week(%),Forward_P_E,EPS_next_Y,Insider_Trans(%),Shs_Float,Perf_Month(%),Income,PEG,EPS_next_Q,Inst_Own(%),Perf_Quarter(%),Sales,P_S,EPS_this_Y(%),Inst_Trans(%),Short_Interest,Perf_Half_Y(%),Book_sh,P_B,EPS_next_Y_Percentage(%),ROA(%),Target_Price,Perf_Year(%),Cash_sh,P_C,EPS_next_5Y(%),ROE(%),52W_Range_From,52W_Range_To,Perf_YTD(%),Dividend,P_FCF,EPS_past_5Y(%),ROI(%),52W_High(%),Beta,Dividend_%(%),Quick_Ratio,Sales_past_5Y(%),Gross_Margin(%),52W_Low(%),ATR,Employees,Current_Ratio,Sales_Q_Q(%),Oper._Margin(%),RSI_(14),Volatility_W(%),Volatility_M(%),Optionable,Debt_Eq,EPS_Q_Q(%),Profit_Margin(%),Rel_Volume,Prev_Close,Shortable,LT_Debt_Eq,Payout(%),Avg_Volume,Recom,SMA20(%),SMA50(%),SMA200(%),Date,Short_Float_Percentage(%),Short_Float_Ratio,Earnings_Date,Earnings_Timing
AMST,Amesite Inc.,Technology,Software - Application,USA,18840000,,0.51,0.8162,155658114,"['Most Active', 'Top Gainers', 'Unusual Volume']",3,-,-0.33,31.5,27420000,52.86,,,0.34,20820000.0,64.45,-8300000.000000001,,,4.5,110.84,800000.0,23.55,34.5,47.57,630000.0,11.75,0.32,1.59,,84.6,,38.21,0.22,2.33,,91.9,0.13,1.05,191.15,,,,111.8,51.45,,,11.2,,,292.15,0.11,14,11.2,200.0,,65.42,34.69,35.34,False,0.0,47.7,,121.33,0.28,True,0.0,,1280000,2.0,58.67,86.92,30.36,2023-02-14,3.04,0.49,,
UIHC,United Insurance Holdings Corp.,Financial,Insurance - Property & Casualty,USA,78440000,,1.51,0.37270000000000003,2830233,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-4.08,55.17,43080000,39.84,,,1.4,19400000.0,0.0,-175400000.0,,,14.7,364.76,496500000.0,0.16,40.1,17.14,170000.0,39.81,1.87,0.81,,6.6,,60.37,3.48,0.43,20.0,85.8,0.29,3.82,42.45,0.24,,48.1,12.8,60.47,-0.13,15.89,,5.4,,416.95,0.34,472,,23.9,31.1,45.16,44.86,20.94,True,1.9,393.7,35.3,9.12,1.10,True,1.9,,310270,3.0,24.37,21.4,32.39,2023-02-14,0.9,0.56,2022-11-09,AMC
BWV,"Blue Water Vaccines, Inc.",Healthcare,Biotechnology,USA,24820000,,1.56,0.3333,90025201,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-1.09,17.3,14340000,26.83,,-0.8,17.51,10440000.0,24.8,-11700000.0,,-0.26,20.5,13.87,,,87.3,61.58,340000.0,36.07,1.79,0.87,32.8,61.2,5.5,,1.83,0.85,,72.6,0.91,90.90,41.82,,,,,98.28,,,6.8,,,71.43,0.13,5,6.8,,,71.95,12.13,7.88,False,0.0,132.4,,284.57,1.17,True,0.0,,316350,2.0,24.95,30.57,30.09,2023-02-14,3.26,1.08,2022-11-10,BMO
OCFT,"OneConnect Financial Technology Co., Ltd.",Technology,Software - Application,China,351860000,,8.69,0.297,709067,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-40.63,15.47,39000000,23.61,,-2.23,0.0,32970000.0,20.69,-155400000.0,,-0.69,6.3,14.61,664200000.0,0.53,0.0,4.92,250000.0,31.57,133.46,0.07,36.5,11.8,8.89,48.58,12.73,0.68,9.19,29.6,4.5,23.00,63.65,,,,27.1,62.22,,,1.2,,35.2,93.11,0.79,3842,1.2,0.4,25.9,61.17,12.22,11.8,True,0.09,53.4,23.4,7.24,6.70,True,0.0,,97900,2.7,14.86,25.66,17.57,2023-02-14,0.77,2.59,2022-11-10,BMO
NUZE,"NuZee, Inc.",Consumer Defensive,Packaged Foods,USA,9600000,,14.55,0.2845,148036,"['Most Volatile', 'Top Gainers']",2,-,-21.3,33.93,630000,17.84,,,0.0,460000.0,50.4,-11800000.0,,,9.5,21.22,3100000.0,3.1,46.1,,10000.0,49.29,15.47,0.94,,91.6,,82.67,12.58,1.16,,110.6,7.7,96.99,68.24,,,29.9,117.6,84.99,-0.17,,5.8,13.8,3.6,89.0,1.82,22,6.3,20.0,,63.52,14.22,16.68,True,0.0,27.6,,2.48,11.33,True,0.0,,59720,,22.29,33.16,40.58,2023-02-14,3.26,0.25,,
SECO,Secoo Holding Limited,Consumer Cyclical,Internet Retail,China,22000000,,3.52,0.2482,1379117,"['Most Volatile', 'Top Gainers']",2,-,-126.65,,7070000,7.37,,,,5750000.0,95.56,-197900000.0,,,17.0,29.32,408700000.0,0.05,577.9,1.94,10000.0,40.18,18.81,0.19,,29.0,,8.95,,,,73.6,1.5,6.90,89.25,,,8.5,14.3,48.99,0.6,,0.6,3.8,27.3,134.67,0.55,509,2.5,15.2,49.7,65.12,27.59,15.81,True,1.65,485.5,48.4,0.95,2.82,False,1.62,,1450000,,60.33,71.85,34.53,2023-02-14,0.11,0.0,2022-12-30,BMO
SKYT,"SkyWater Technology, Inc.",Technology,Semiconductors,USA,585620000,,13.98,0.2231,3090993,"['Most Volatile', 'Recent Insider Selling', 'Top Gainers', 'Unusual Volume']",4,-,-1.6,16.6,40670000,23.5,,-0.32,18.43,12400000.0,47.94,-63600000.0,,-0.11,12.4,20.52,186400000.0,3.14,221.9,11.7,1260000.0,1.89,0.9,15.53,61.0,23.5,16.4,50.32,0.22,62.97,20.0,138.4,4.43,20.95,96.62,,,,36.0,33.27,,,0.9,,3.3,215.58,1.07,590,1.1,49.4,31.5,73.62,13.83,8.81,True,2.3,52.0,34.1,15.54,11.43,True,2.25,,198900,2.2,32.74,51.7,50.81,2023-02-14,10.2,6.36,2023-02-13,AMC
FUSN,Fusion Pharmaceuticals Inc.,Healthcare,Biotechnology,Canada,192090000,,4.42,0.221,14828669,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-1.85,0.2,43680000,31.16,,-1.92,0.0,38830000.0,13.33,-80200000.0,,-0.56,59.6,88.24,1900000.0,101.1,0.4,5.05,570000.0,114.56,4.19,1.05,4.5,33.6,11.0,46.81,4.73,0.93,,38.7,1.98,8.65,40.32,,,,35.4,48.9,,,16.1,,,123.23,0.31,86,16.1,33.3,,73.91,7.87,7.85,True,0.19,21.7,,167.20,3.62,True,0.19,,88690,1.6,32.36,40.75,51.15,2023-02-14,1.46,6.39,,
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,USA,-2147483648,,9.22,0.2116,214309337,"['Major News', 'Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",5,-,-0.27,0.6,2069999999,10.68,57.27,0.16,20.4,1760000000.0,32.47,-560800000.0,,0.03,34.9,9.63,1830000000.0,11.09,58.6,4.19,115710000.0,6.96,1.15,8.02,250.0,17.0,8.83,29.78,1.12,8.22,25.85,23.9,5.84,14.86,43.61,,102.85,,19.3,37.95,,,4.3,,78.6,57.88,0.58,3712,4.3,21.9,11.1,67.1,6.75,8.22,True,0.0,14.9,30.6,6.53,7.61,True,0.0,,32820000,3.2,20.67,29.36,12.1,2023-02-14,6.59,3.53,2023-02-13,AMC
OUST,"Ouster, Inc.",Technology,Electronic Components,USA,308860000,,1.65,0.20440000000000003,5559894,"['Double Bottom', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-0.72,4.5,181360000,5.17,,-0.65,3.04,123700000.0,36.36,-124700000.0,,-0.18,29.9,36.36,41900000.0,7.37,6.0,5.64,9460000.0,15.38,1.13,1.46,15.6,43.4,3.1,46.08,,,20.0,53.4,0.76,5.00,91.19,,,,37.2,67.0,,,5.9,,30.2,117.11,0.16,278,6.7,43.6,,59.54,15.02,10.41,True,0.09,145.3,,4.77,1.37,True,0.09,,1160000,2.3,16.12,35.54,7.83,2023-02-14,7.65,8.12,2022-11-07,AMC
DDL,Dingdong (Cayman) Limited,Consumer Defensive,Grocery Stores,China,1390000000,,5.88,0.2025,5248664,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-1.27,4.22,216130000,8.29,294.0,0.02,0.0,109400000.0,4.26,-288900000.0,,0.03,34.2,67.52,3470000000.0,0.4,92.1,3.65,3350000.0,30.67,0.16,36.75,104.3,21.4,6.29,9.68,3.65,1.61,3.27,477.3,2.43,7.49,37.7,,,,162.3,21.5,,,0.8,,29.6,141.88,0.56,4005,0.9,4.0,7.7,59.0,14.99,9.6,True,18.4,81.2,8.3,7.08,4.89,True,0.0,,741840,1.6,11.97,15.52,28.49,2023-02-14,3.06,4.51,2023-02-13,BMO
IREN,Iris Energy Limited,Financial,Capital Markets,Australia,148810000,,2.56,0.20190000000000002,8094263,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-10.25,23.97,54980000,19.63,,-0.35,0.0,41800000.0,39.89,-419800000.0,,-0.13,21.8,13.8,59000000.0,2.52,834.4,4.68,1060000.0,56.31,10.68,0.24,31.4,71.6,6.3,82.68,1.89,1.35,,181.8,1.02,17.97,104.8,,,,0.4,85.75,,,1.9,,,150.98,0.28,102,1.9,646.8,0.4,65.51,22.49,12.57,True,0.25,834.4,,26.62,2.13,True,0.11,,304040,2.3,22.69,54.09,30.41,2023-02-14,2.53,3.47,,
STIX,"Semantix, Inc.",Technology,Software - Application,Brazil,140960000,,1.74,0.1837,121451,"['Most Volatile', 'Top Gainers']",2,-,,2.86,80490000,7.94,,-0.21,0.0,78190000.0,42.62,,,,0.3,18.37,207540000.0,0.68,250.9,98.65,50000.0,63.52,1.17,1.49,25.0,,1.25,82.34,1.24,1.4,,,0.55,11.34,97.61,,,,66.8,84.66,,,2.7,,,216.02,0.28,681,2.7,34.7,,58.5,19.56,17.49,False,0.4,,,2.02,1.47,True,0.18,,60260,3.0,15.66,50.73,63.47,2023-02-14,0.06,0.78,2022-11-29,AMC
HRTG,"Heritage Insurance Holdings, Inc.",Financial,Insurance - Property & Casualty,USA,61470000,,2.27,0.18230000000000002,114430,"['Most Volatile', 'Top Gainers']",2,-,-8.09,18.8,26370000,0.44,10.46,0.22,13.13,19740000.0,0.44,-216100000.0,,-0.16,44.0,53.38,654600000.0,0.09,906.6,13.9,190000.0,18.35,4.46,0.51,103.0,10.3,3.43,60.59,10.99,0.21,,93.6,1.12,7.37,26.11,0.24,,34.2,13.7,69.2,0.78,10.57,,7.5,,102.68,0.17,648,,1.1,32.9,51.6,9.72,7.39,True,1.23,211.5,33.0,0.84,1.92,True,1.23,,136160,2.0,3.55,11.58,7.8,2023-02-14,0.98,1.42,2022-11-08,AMC
HPCO,"Hempacco Co., Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,105610000,,1.5,0.18109999999999998,12590646,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-0.12,0.2,21690000,86.66,,,0.0,2780000.0,42.86,-2700000.0,,,0.3,11.76,3700000.0,28.54,78.4,38.76,200000.0,,0.58,2.59,,,,,0.04,35.2,,,0.74,41.80,83.15,,,,34.6,96.41,,,2.7,,18.4,102.7,0.55,15,3.2,50.0,70.8,51.79,79.68,27.59,False,0.03,176.0,72.2,4.30,1.27,False,0.02,,2930000,,23.55,33.79,22.5,2023-02-14,7.08,0.07,,
SI,Silvergate Capital Corporation,Financial,Banks - Regional,USA,577390000,,17.36,0.1801,32682401,"['Major News', 'Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",5,-,-29.96,0.2,31660000,5.96,13.13,1.32,0.0,25710000.0,31.52,-948700000.0,,0.01,79.9,49.56,327300000.0,1.76,114.5,0.96,20220000.0,83.64,42.06,0.41,56.82,0.6,15.67,85.19,63.18,0.27,33.8,6.9,10.81,162.65,0.23,,4.71,50.6,7.5,89.33,,,,25.7,,60.59,2.53,279,,139.6,60.9,52.41,12.27,16.34,True,0.01,45.6,31.3,4.05,14.71,True,0.01,,8060000,2.7,12.87,2.57,70.65,2023-02-14,78.64,2.51,2023-01-17,BMO
CVV,CVD Equipment Corporation,Industrials,Specialty Industrial Machinery,USA,96230000,,14.85,0.1693,287143,"['Most Volatile', 'New High', 'Top Gainers', 'Unusual Volume']",4,-,-0.44,2.8,6740000,11.07,,,128.51,5660000.0,81.32,-3000000.0,,,18.4,138.37,23300000.0,4.13,177.4,0.75,90000.0,151.27,4.12,3.6,,8.8,,215.57,1.84,8.09,,10.5,3.68,14.88,169.51,,,99.8,7.7,0.2,1.61,,3.3,4.7,22.6,303.53,1.33,113,3.7,88.4,12.5,70.22,12.52,13.51,False,0.02,98.9,12.7,4.47,12.70,True,0.01,,64170,2.0,31.75,84.23,161.45,2023-02-14,1.57,1.39,2022-11-14,AMC
MREO,Mereo BioPharma Group plc,Healthcare,Biotechnology,United Kingdom,151860000,11.05,1.22,0.16829999999999998,2590833,"['Top Gainers', 'Unusual Volume']",2,-,0.11,,124990000,32.14,,,,124990000.0,36.87,,,,58.19,49.82,0.0,,,,3540000.0,6.54,0.6,2.04,,,4.25,2.97,,,,,0.3,1.85,62.0,,,,,34.32,,,,,,303.65,0.12,49,,,,72.22,17.8,12.91,True,,,,3.18,1.04,True,,,815340,1.5,26.65,46.69,28.65,2023-02-14,2.83,4.34,,
SSY,"SunLink Health Systems, Inc.",Healthcare,Medical Care Facilities,USA,8630000,,1.25,0.162,330547,"['Most Volatile', 'Overbought', 'Top Gainers', 'Unusual Volume']",4,-,-0.76,14.1,6980000,13.06,,,0.0,4910000.0,74.31,-5300000.0,,,15.5,47.65,41900000.0,0.21,125.0,3.88,10000.0,5.62,2.52,0.5,,18.6,,14.59,0.73,1.73,,26.3,0.53,2.10,105.74,,,3.4,7.2,40.24,1.26,,1.7,4.9,60.1,136.59,0.09,1376,1.9,4.8,12.5,81.9,12.89,8.56,False,0.0,178.2,13.2,11.23,1.08,True,0.0,,29420,,40.43,58.78,27.12,2023-02-14,0.28,0.47,,
BTBT,"Bit Digital, Inc.",Financial,Capital Markets,USA,114820000,,1.37,0.161,1870579,"['Most Volatile', 'Top Gainers']",2,-,-0.68,0.78,83330000,7.43,,-0.48,0.0,75500000.0,16.1,-52100000.0,,-0.13,8.3,24.55,37900000.0,3.03,34.4,51.0,6740000.0,30.1,1.79,0.77,29.4,30.1,2.0,69.49,0.66,2.07,,33.2,0.53,4.84,128.33,,,50.2,0.1,71.69,5.69,,19.8,91.8,49.5,158.44,0.14,12,19.8,12.5,,55.29,11.05,10.93,True,0.0,53.3,,1.00,1.18,True,0.0,,1860000,2.0,1.58,35.8,3.56,2023-02-14,8.93,3.62,,
MYMD,"MyMD Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,80440000,,1.93,0.1592,331034,"['Most Volatile', 'Top Gainers']",2,-,-0.38,0.6,39050000,11.47,,,4.17,33850000.0,26.97,-14700000.0,,,10.7,11.47,,,75.2,16.85,790000.0,55.32,0.47,4.11,,68.0,,56.82,0.17,11.33,,76.2,0.9,6.15,67.83,,,67.4,,68.62,2.13,,4.5,,,114.44,0.27,9,4.5,,,49.52,12.38,13.54,True,0.0,34.9,,1.38,1.66,True,0.0,,239910,,5.19,16.81,28.08,2023-02-14,2.34,3.3,,
IE,Ivanhoe Electric Inc.,Basic Materials,Copper,Canada,1390000000,,15.09,0.15539999999999998,709532,"['Most Volatile', 'Top Gainers']",2,-,-1.73,21.4,92890000,14.93,,-0.69,2.05,65290000.00000001,3.43,-136500000.0,,-0.23,35.8,26.07,8700000.0,159.31,135.1,9.56,830000.0,51.81,2.63,5.74,51.4,,15.5,,1.93,7.8,,,7.01,15.53,24.2,,,,60.8,2.83,,,9.2,,84.1,115.26,0.83,89,9.5,20.0,,68.73,8.53,5.64,False,0.1,128.9,,3.08,13.06,True,0.1,,230360,1.7,12.49,18.89,44.53,2023-02-14,1.27,3.6,,
SOUN,"SoundHound AI, Inc.",Technology,Software - Application,USA,753700000,,3.77,0.1494,21470874,"['Most Active', 'Most Volatile', 'Top Gainers']",3,-,-0.58,3.1,197010000,4.72,,-0.29,11.99,119850000.0,211.57,-107300000.0,,-0.17,11.0,108.29,27000000.0,27.91,2.5,11.11,5410000.0,0.53,-0.07,,79.1,179.8,3.7,,0.17,22.57,,59.9,0.93,18.14,112.99,,,,23.3,79.22,,,1.1,,68.3,305.38,0.64,392,1.1,180.0,,63.88,27.91,26.91,True,,21.1,,2.97,3.28,True,,,7220000,1.7,59.11,129.31,11.73,2023-02-14,4.51,0.75,2022-11-10,AMC
TCBP,TC Biopharm (Holdings) Plc,Healthcare,Biotechnology,United Kingdom,5870000,,7.16,0.1493,563692,"['Most Volatile', 'Top Gainers']",2,-,-22.5,36.62,560000,26.28,,-4.99,,500000.0,59.82,-12600000.0,,,12.4,1.24,2400000.0,2.45,148.7,0.99,70000.0,66.11,2.2,3.25,58.4,117.4,129.5,93.25,8.9,0.8,,123.1,2.81,148.00,85.97,,,,,95.16,,,1.1,,,154.8,0.99,76,1.1,100.0,,66.82,12.5,19.25,False,3.5,138.8,,0.52,6.23,True,2.0,,1090000,2.0,34.9,56.08,58.52,2023-02-14,13.47,0.06,,
