Ticker,Company,Sector,Industry,Country,Market_Cap,P_E,Price,Change,Volume,Signals,NoOf_Signals,Index,EPS_(ttm),Insider_Own(%),Shs_Outstand,Perf_Week(%),Forward_P_E,EPS_next_Y,Insider_Trans(%),Shs_Float,Perf_Month(%),Income,PEG,EPS_next_Q,Inst_Own(%),Perf_Quarter(%),Sales,P_S,EPS_this_Y(%),Inst_Trans(%),Short_Interest,Perf_Half_Y(%),Book_sh,P_B,EPS_next_Y_Percentage(%),ROA(%),Target_Price,Perf_Year(%),Cash_sh,P_C,EPS_next_5Y(%),ROE(%),52W_Range_From,52W_Range_To,Perf_YTD(%),Dividend,P_FCF,EPS_past_5Y(%),ROI(%),52W_High(%),Beta,Dividend_%(%),Quick_Ratio,Sales_past_5Y(%),Gross_Margin(%),52W_Low(%),ATR,Employees,Current_Ratio,Sales_Q_Q(%),Oper._Margin(%),RSI_(14),Volatility_W(%),Volatility_M(%),Optionable,Debt_Eq,EPS_Q_Q(%),Profit_Margin(%),Rel_Volume,Prev_Close,Shortable,LT_Debt_Eq,Payout(%),Avg_Volume,Recom,SMA20(%),SMA50(%),SMA200(%),Date,Short_Float_Percentage(%),Short_Float_Ratio,Earnings_Date,Earnings_Timing
TA,TravelCenters of America Inc.,Consumer Cyclical,Specialty Retail,USA,743580000,5.64,84.43,0.7077,10521909,"['Major News', 'Most Active', 'New High', 'Overbought', 'Top Gainers', 'Unusual Volume']",6,-,8.77,3.7,14400000,77.34,9.56,5.17,0.0,13700000.0,84.67,126100000.0,1.13,1.34,73.1,62.27,10220000000.0,0.07,407.0,5.25,600000.0,47.71,57.28,0.86,43.93,3.5,71.25,104.58,31.07,1.59,5.0,16.6,31.19,65.33,88.54,,,77.2,8.3,29.24,1.65,,1.1,6.1,17.5,170.7,4.07,14250,1.5,44.9,2.1,89.66,4.14,3.42,True,0.69,63.5,1.2,108.69,49.44,True,0.68,,96810,2.0,80.07,82.78,79.6,2023-02-16,4.41,6.24,,
SRNE,"Sorrento Therapeutics, Inc.",Healthcare,Biotechnology,USA,77470000,,0.26,0.5611,263346699,"['Most Active', 'Top Gainers', 'Unusual Volume']",3,-,-1.33,1.0,471880000,72.39,,-0.74,4.45,465680000.0,78.33,-493600000.0,,-0.2,35.4,61.28,60300000.0,1.28,11.9,7.93,64560000.0,69.86,0.29,0.57,32.1,70.6,7.67,79.52,0.25,0.66,37.0,346.9,0.16,1.25,27.89,,,3.7,169.3,79.39,2.06,,0.8,45.4,62.1,60.19,0.12,799,0.9,43.8,,27.04,54.26,18.9,True,0.54,50.5,,8.46,0.17,True,0.14,,31140000,2.0,71.0,63.73,65.27,2023-02-16,13.86,2.07,,
AMAM,Ambrx Biopharma Inc.,Healthcare,Biotechnology,USA,76620000,,2.78,0.5359,50567090,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-2.26,,38620000,73.75,,-0.3,,5520000.0,41.12,-90600000.0,,,49.9,308.88,5200000.0,14.73,301.7,1.86,370000.0,20.87,3.67,0.49,0.0,,3.0,32.69,2.62,0.69,21.7,,0.38,5.12,22.47,,,,33.9,45.7,,,4.7,,,631.58,0.35,81,4.7,43.3,,70.07,13.9,9.89,True,0.0,,,13.31,1.81,True,0.0,,3800000,2.0,52.87,46.86,32.08,2023-02-16,6.68,0.1,,
CYH,"Community Health Systems, Inc.",Healthcare,Medical Care Facilities,USA,669800000,,7.74,0.5236,19562243,"['Most Active', 'Most Volatile', 'Overbought', 'Top Gainers', 'Unusual Volume']",5,-,-1.52,3.1,129139999,52.36,,-0.3,0.0,126200000.0,74.72,-191000000.0,,0.37,82.5,125.66,12300000000.0,0.05,59.8,7.91,11840000.0,141.87,-13.83,,89.1,1.3,5.46,43.38,2.28,2.23,7.95,12.1,1.88,14.29,79.17,,,16.2,11.1,45.84,1.76,,1.2,7.7,83.8,311.7,0.47,51000,1.4,2.9,8.9,83.24,4.01,6.52,True,,138.3,1.6,7.97,5.08,True,,,2450000,2.4,54.51,74.05,97.9,2023-02-16,9.38,4.82,2023-02-15,AMC
SERA,"Sera Prognostics, Inc.",Healthcare,Diagnostics & Research,USA,64920000,,2.96,0.304,19031061,"['Most Active', 'Most Volatile', 'Overbought', 'Top Gainers', 'Unusual Volume']",5,-,-1.52,0.2,31010000,148.74,,-1.71,0.0,25210000.0,96.03,-46900000.0,,-0.37,51.9,111.43,200000.0,324.61,76.4,0.3,70000.0,24.89,3.46,0.66,15.5,35.9,3.0,56.6,3.1,0.73,,38.3,1.1,7.22,134.92,,,,,58.97,,,10.5,,35.4,169.09,0.28,115,10.5,278.3,,82.39,17.43,8.77,False,0.01,6.9,,19.57,2.27,True,0.01,,972470,1.7,102.64,111.78,78.63,2023-02-16,0.26,0.07,2022-11-09,AMC
ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland,31570000,,1.88,0.25329999999999997,2187430,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-3.26,,12860000,25.7,,,,12860000.0,134.97,,,,47.11,130.65,1250000.0,25.31,,,300000.0,45.74,0.9,1.67,,,,65.76,,,,,0.55,6.24,198.36,,,,,69.87,,,,,,241.82,0.19,26,,45.1,,79.14,13.51,13.68,False,,,,11.57,1.50,True,,,189120,,58.2,113.1,30.37,2023-02-16,2.35,1.6,2022-11-11,BMO
MTRN,Materion Corporation,Basic Materials,Other Industrial Metals & Mining,USA,1810000000,23.92,110.01,0.2412,459915,"['Earnings Before', 'Most Volatile', 'New High', 'Top Gainers', 'Unusual Volume']",5,-,3.71,0.9,20530000,29.12,15.52,5.71,1.54,20220000.0,21.75,76900000.0,1.99,1.34,99.64,33.3,1720000000.0,1.05,366.8,3.53,440000.0,14.83,37.35,2.37,14.89,4.6,95.67,27.18,1.02,87.22,12.0,10.4,64.89,97.89,25.71,0.5,,22.4,6.1,12.38,1.13,0.56,1.4,9.3,19.0,69.53,3.98,3443,3.5,10.4,5.6,78.17,3.21,2.97,True,0.66,9.2,4.5,3.35,88.63,True,0.64,13.1,137370,2.0,23.55,24.61,33.15,2023-02-16,2.19,3.22,2023-02-16,BMO
TALS,"Talaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,67360000,,1.96,0.24050000000000002,7374962,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-1.69,10.1,41380000,20.25,,-1.95,10.87,34130000.0,61.98,-69600000.0,,-0.51,74.2,33.33,,,112.3,4.62,2150000.0,53.55,4.71,0.34,2.6,30.4,9.0,78.7,4.55,0.35,,31.8,0.89,10.56,92.16,,,,,81.44,,,21.6,,,120.22,0.17,112,21.6,,,67.66,10.71,10.75,False,0.0,44.6,,28.76,1.58,True,0.0,,256430,2.2,28.74,48.32,43.52,2023-02-16,6.31,8.4,2022-11-10,BMO
FRHC,Freedom Holding Corp.,Financial,Capital Markets,Kazakhstan,3780000000,76.09,79.0,0.239,3700075,"['New High', 'Overbought', 'Top Gainers', 'Unusual Volume']",4,-,0.84,71.58,58660000,24.21,,,0.0,16920000.0,27.19,49600000.0,,,1.0,32.31,505900000.0,7.47,50.7,1.72,170000.0,36.7,10.73,5.94,,,,22.16,13.33,4.78,,,38.17,66.90,35.69,,,45.6,22.4,18.09,1.19,,0.8,103.6,82.5,106.97,3.05,2810,0.8,43.7,,82.13,3.12,3.05,True,1.66,76.9,,24.03,63.76,True,0.08,,154010,,22.94,27.21,46.3,2023-02-16,0.98,1.08,,
SVC,Service Properties Trust,Real Estate,REIT - Hotel & Motel,USA,1460000000,,10.52,0.22039999999999998,4807474,"['New High', 'Overbought', 'Top Gainers', 'Unusual Volume']",4,-,-1.82,0.2,164750000,23.76,19.59,0.44,0.0,163200000.0,28.92,-299800000.0,,-0.2,80.7,35.39,1830000000.0,0.8,74.7,0.05,9610000.0,32.16,8.81,0.98,49.15,3.5,9.0,18.2,0.4,21.71,5.0,20.4,4.65,9.38,44.31,0.8,7.82,35.4,2.4,12.15,2.29,9.28,,6.1,33.3,126.24,0.43,0,,14.0,0.0,81.43,3.35,3.22,True,3.96,112.5,16.4,5.22,8.62,True,3.96,,921140,3.2,23.35,32.42,50.2,2023-02-16,5.89,10.43,2022-11-03,AMC
