Ticker,Company,Sector,Industry,Country,Market_Cap,P_E,Price,Change,Volume,Signals,NoOf_Signals,Index,EPS_(ttm),Insider_Own(%),Shs_Outstand,Perf_Week(%),Forward_P_E,EPS_next_Y,Insider_Trans(%),Shs_Float,Perf_Month(%),Income,PEG,EPS_next_Q,Inst_Own(%),Perf_Quarter(%),Sales,P_S,EPS_this_Y(%),Inst_Trans(%),Short_Interest,Perf_Half_Y(%),Book_sh,P_B,EPS_next_Y_Percentage(%),ROA(%),Target_Price,Perf_Year(%),Cash_sh,P_C,EPS_next_5Y(%),ROE(%),52W_Range_From,52W_Range_To,Perf_YTD(%),Dividend,P_FCF,EPS_past_5Y(%),ROI(%),52W_High(%),Beta,Dividend_%(%),Quick_Ratio,Sales_past_5Y(%),Gross_Margin(%),52W_Low(%),ATR,Employees,Current_Ratio,Sales_Q_Q(%),Oper._Margin(%),RSI_(14),Volatility_W(%),Volatility_M(%),Optionable,Debt_Eq,EPS_Q_Q(%),Profit_Margin(%),Rel_Volume,Prev_Close,Shortable,LT_Debt_Eq,Payout(%),Avg_Volume,Recom,SMA20(%),SMA50(%),SMA200(%),Date,Short_Float_Percentage(%),Short_Float_Ratio,Earnings_Date,Earnings_Timing
VLON,"Vallon Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,6030000,,0.46,0.7277,127605611,"['Most Active', 'Top Gainers', 'Unusual Volume']",3,-,-1.13,0.3,12110000,62.62,,,0.0,6960000.0,56.04,-8500000.0,,,18.0,78.78,,,92.9,1.82,320000.0,15.71,0.29,1.59,,122.6,,91.5,0.39,1.18,,209.5,0.21,8.35,59.48,,,,,94.46,,,2.6,,,125.17,0.07,3,2.6,,,76.54,39.41,18.29,False,0.0,53.8,,50.84,0.27,True,0.0,,2510000,2.0,62.25,62.4,5.48,2023-02-10,4.56,0.13,2022-11-03,AMC
XPON,Expion360 Inc.,Industrials,Electrical Equipment & Parts,USA,22150000,,3.08,0.5449,60306591,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-1.55,50.8,6800000,51.72,,,0.0,3340000.0,94.94,,,,0.9,105.33,7050000.0,3.14,438.6,1.57,130000.0,18.52,1.92,1.6,,,,,1.13,2.73,,,0.9,11.29,33.91,,,,88.3,72.72,,,8.1,,,242.22,0.38,21,12.7,55.6,,73.08,18.38,18.42,False,0.11,390.4,,35.76,1.99,True,0.1,,1690000,,51.15,82.53,27.78,2023-02-10,3.98,0.08,,
NAOV,"NanoVibronix, Inc.",Healthcare,Medical Devices,USA,209870000,,6.05,0.38130000000000003,3725267,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-0.22,0.48,32790000,5.5,,,42.91,32590000.000000004,11.78,-5900000.0,,,4.5,11.06,1600000.0,131.17,35.1,1.69,10000.0,55.35,0.11,55.0,,83.6,,63.33,0.06,104.94,,124.3,4.25,27.20,20.04,,,1.7,90.7,77.76,0.86,,2.0,49.2,44.4,42.35,0.93,12,2.9,80.0,,49.05,25.75,14.04,False,0.0,86.7,,53.22,4.38,True,0.0,,69990,2.0,3.99,6.29,39.63,2023-02-10,0.04,0.17,,
HILS,"Hillstream BioPharma, Inc.",Healthcare,Biotechnology,USA,18330000,,1.59,0.3475,95206105,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-0.39,25.5,11530000,43.24,,,0.0,5130000.0,305.61,-4300000.0,,,6.3,297.4,,,17.5,3.2,10000.0,48.6,0.62,2.56,,57.5,6.0,58.27,0.66,2.41,,78.0,0.3,4.20,307.9,,,,,62.14,,,10.9,,,424.75,0.26,1,10.9,,,76.53,24.96,20.27,False,0.0,142.8,,58.28,1.18,False,0.0,,1630000,2.0,106.92,184.59,96.18,2023-02-10,0.21,0.01,,
OSCR,"Oscar Health, Inc.",Healthcare,Healthcare Plans,USA,1120000000,,4.95,0.30260000000000004,12010532,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-2.74,0.4,212820000,27.25,,-1.62,13.44,177460000.0,78.06,-579700000.0,,-1.16,88.3,110.64,3460000000.0,0.32,55.0,2.38,7360000.0,24.08,5.08,0.97,45.8,13.9,4.19,24.31,9.33,0.53,33.5,45.9,2.05,10.52,101.22,,4.78,,40.8,52.97,,,,,,141.46,0.31,2621,,120.4,16.3,77.06,13.47,8.05,True,0.28,10.8,16.7,7.91,3.80,True,0.28,,1520000,2.9,43.87,70.9,8.6,2023-02-10,4.15,4.85,2023-02-09,AMC
LGF-B,Lions Gate Entertainment Corp.,Communication Services,Entertainment,USA,-2147483648,,9.69,0.2568,3047264,"['Most Volatile', 'Top Gainers']",2,-,-0.84,3.98,145330000,12.81,,-0.54,15.89,139340000.0,40.03,,,-0.28,,64.52,3580000000.0,0.63,936.9,,3480000.0,9.61,3.7,2.62,93.8,,10.38,25.92,,,,,5.19,15.47,78.45,,,,,37.34,,,,,,86.71,0.56,1448,,1.4,,72.77,10.49,6.55,True,,,,2.73,7.71,True,,,1120000,2.7,28.3,45.06,15.79,2023-02-10,2.5,3.12,,
LGF-A,Lions Gate Entertainment Corp.,Communication Services,Entertainment,USA,-2147483648,,10.34,0.25329999999999997,2830625,"['Most Volatile', 'Top Gainers']",2,-,-9.14,3.7,227900000,13.5,,-0.24,17.99,218260000.0,42.03,-2080400000.0,,-0.14,89.3,62.07,3580000000.0,0.65,879.8,0.13,5450000.0,8.5,3.71,2.79,118.9,24.1,9.85,26.25,2.46,4.2,14.69,93.9,5.46,16.75,81.09,,,63.7,0.7,38.27,1.54,,,2.4,36.2,89.38,0.58,1448,0.5,1.4,51.8,74.02,9.07,6.3,True,5.52,,58.0,2.33,8.25,True,4.08,,1220000,,30.13,46.69,16.4,2023-02-10,2.49,4.48,2023-02-09,AMC
TKAT,"Takung Art Co., Ltd.",Consumer Cyclical,Internet Retail,Hong Kong,44360000,,1.29,0.25239999999999996,8118605,"['Most Volatile', 'Overbought', 'Top Gainers', 'Unusual Volume']",4,-,-0.68,9.0,34990000,57.32,,,0.0,31840000.0,79.24,-11800000.0,,,0.8,65.45,1700000.0,26.1,,4.96,150000.0,31.75,2.1,0.61,,,,54.42,1.83,0.71,,,0.51,4.88,134.37,,,31.5,480.3,73.57,2.88,,4.5,63.7,93.1,152.64,0.14,7,4.5,37.3,,82.4,32.33,16.42,True,0.0,150.3,,33.28,1.03,True,0.0,,243980,,55.56,76.0,1.19,2023-02-10,0.46,0.6,,
CETX,"Cemtrex, Inc.",Industrials,Conglomerates,USA,10210000,,12.6,0.2293,1054305,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-18.74,10.85,750000,28.7,1260.0,0.01,0.0,670000.0,115.57,-13000000.0,,,2.7,85.09,50300000.0,0.2,,91.71,30000.0,16.13,18.7,0.67,100.5,26.6,8.0,51.15,13.09,0.96,,73.9,3.15,26.95,191.03,,,17.2,50.0,53.25,2.13,,0.8,16.1,37.9,300.0,1.78,385,1.2,10.2,33.7,73.18,25.29,23.59,False,1.37,76.3,25.9,11.59,10.25,True,0.17,,90950,2.0,65.77,102.19,42.89,2023-02-10,3.98,0.29,,
NGL,NGL Energy Partners LP,Energy,Oil & Gas Refining & Marketing,USA,259209999,,2.08,0.2164,4502168,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-1.02,3.1,130699999,20.23,,-0.26,15.21,122200000.0,48.57,-133100000.0,,0.03,26.1,39.6,9210000000.0,0.03,60.8,4.68,380000.0,22.35,3.28,0.63,8.3,2.2,2.0,16.13,0.04,57.6,3.0,31.6,1.0,2.74,71.9,,11.03,43.9,2.1,24.09,1.84,,1.1,9.0,9.8,108.0,0.13,842,1.4,14.6,2.6,79.71,8.28,6.91,True,8.06,2.1,1.4,6.54,1.71,True,8.05,,688180,3.3,28.71,53.39,36.86,2023-02-10,0.31,0.55,2023-02-09,AMC
