Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200,Description
CELZ,"Creative Medical Technology Holdings, Inc.",Healthcare,Biotechnology,USA,15340000.0,,1.04,1.0104,137220913.0,"['Top Gainers', 'Most Active', 'Unusual Volume', 'Overbought']",4,-,-1.56,0.90%,14.07M,99.92%,-,-0.51,203.43%,13.72M,147.62%,-7.80M,-,-0.13,9.10%,1.13% / 0.82,110.10%,0.10M,153.40,109.40%,-40.67%,0.16M,37.53%,1.57,0.66,16.40%,-46.70%,10.00,-41.57%,1.15,0.90,-,-48.30%,0.33,5.14,172.89%,-,-,15.00%,-,-79.79%,4.82,-,55.40,-,54.80%,215.15%,0.11,4,55.40,450.00%,-,87.05,16.85%,12.11%,No,0.00,90.70%,-,726.81,0.52,Yes,0.00,-,-,188.80K,2.00,107.34%,139.27%,49.44%,"Creative Medical Technology Holdings, Inc., a biotechnology company, focuses on immunology, urology, orthopedics, and neurology using adult stem cell treatments. The company offers CaverStem to treat erectile dysfunction; FemCelz for the treatment of loss of genital sensitivity and dryness; StemSpine to treat chronic lower back pain; ImmCelz for the treatment of stroke patients; and OvaStem for treatment of female infertility. Creative Medical Technology Holdings, Inc. is based in Phoenix, Arizona."
KPRX,"Kiora Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,12560000.0,,6.94,0.5253,36110376.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume']",4,-,-40.43,2.30%,1.80M,93.85%,-,-6.11,0.00%,1.66M,95.49%,-16.80M,-,-2.60,7.70%,7.75% / 0.17,15.09%,-,-,19.30%,10.29%,0.13M,12.44%,12.40,0.56,-198.00%,-95.00%,64.50,-74.49%,2.65,2.62,-,-149.30%,2.32,39.18,102.33%,-,-,42.50%,-,-82.29%,0.15,-,2.20,-,-,199.14%,0.79,14,2.20,-,-,79.03,28.85%,14.77%,No,0.00,46.80%,-,48.85,4.55,Yes,0.00,-,-,739.15K,2.00,87.62%,99.57%,-22.33%,"Kiora Pharmaceuticals, Inc., a clinical-stage specialty pharmaceutical company, develops and commercializes therapies for the treatment of ophthalmic diseases in the United States. Its lead product is KIO-301, a potential vision-restoring small molecule, which is in Phase 1 clinical trial that acts as a photoswitch to restore vision in patients with inherited and age-related degenerative retinal diseases. The company is also developing KIO-101, an eye drop that is in Phase 2 clinical trial for the treatment of ocular presentation of rheumatoid arthritis, as well as for treating non-infectious posterior uveitis; and KIO-201, an eye drop, which is in Phase 3 clinical trial for treating patients undergoing PRK surgery for corneal wound repair after refractive surgery. The company was formerly known as Eyegate Pharmaceuticals, Inc. and changed its name to Kiora Pharmaceuticals, Inc. in November 2021. Kiora Pharmaceuticals, Inc. was incorporated in 1998 and is headquartered in Encinitas, California."
SOUN,"SoundHound AI, Inc.",Technology,Software - Application,USA,636860000.0,,4.63,0.2861,63431349.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume', 'Overbought', 'Recent Insider Selling']",6,-,-0.58,3.10%,197.01M,124.76%,-,-0.42,-16.53%,119.85M,349.51%,-107.30M,-,-0.17,11.00%,4.17% / 0.99,132.66%,27.00M,23.59,-2.50%,17.00%,4.99M,44.24%,-0.07,-,69.80%,-179.80%,3.70,-,0.24,19.07,-,59.90%,0.93,18.14,161.58%,-,-,-,23.30%,-74.48%,-,-,1.10,-,68.30%,397.85%,0.57,392,1.10,180.00%,-,81.91,40.50%,24.55%,Yes,-,-21.10%,-,12.51,3.60,Yes,-,Nov 10 AMC,-,5.07M,1.70,157.65%,222.49%,37.71%,"SoundHound AI, Inc. develops independent voice artificial intelligence (AI) platform that enables businesses across industries to deliver high-quality conversational experiences to their customers. Its products include Houndify platform that offers a suite of Houndify tools to help brands build conversational voice assistants, such as automatic speech recognition, natural language understanding, wake words, custom domains, text-to-speech, and embedded voice solutions The company is headquartered in Santa Clara, California."
THCH,TH International Limited,Consumer Cyclical,Restaurants,China,799450000.0,,5.3,0.2619,756659.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,-0.66,2.89%,148.35M,83.39%,-,-,0.00%,144.04M,44.41%,-97.70M,-,-,2.10%,0.06% / 0.64,43.24%,138.70M,5.76,-168.80%,-90.23%,0.09M,-46.95%,0.30,17.67,-,-,-,-45.74%,0.75,7.08,-,-,2.54,10.55,90.65%,-,-,-,-43.60%,-49.74%,-,-,0.90,-,64.70%,108.66%,0.51,-,1.00,67.90%,-62.00%,76.99,23.42%,13.11%,Yes,2.41,-75.10%,-70.40%,5.71,4.20,Yes,1.21,-,-,132.63K,-,63.58%,57.42%,-23.38%,"TH International Limited operates Tim Hortons coffee shops in mainland China, Hong Kong, and Macau. As of September 28, 2022, it had approximately 460 coffee shops across the People's Republic of China. The company was incorporated in 2018 and is based in Shanghai, the People's Republic of China. TH International Limited is a subsidiary of Tim Hortons Inc."
RGTI,"Rigetti Computing, Inc.",Technology,Computer Hardware,USA,140320000.0,,1.39,0.24109999999999998,8470084.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Recent Insider Selling']",4,-,-0.53,10.60%,118.57M,73.75%,-,-0.51,-13.36%,114.76M,82.89%,-59.10M,-,-0.12,45.80%,3.10% / 3.00,-17.75%,9.10M,15.42,-46.40%,-14.28%,3.55M,-68.05%,1.40,0.99,-15.90%,-,2.50,-86.02%,1.59,0.87,-,-,0.67,11.37,90.62%,-,-,-,73.10%,-87.77%,-,-,10.40,-,-,108.41%,0.13,160,10.40,86.70%,-,75.29,24.46%,12.51%,Yes,0.18,-78.70%,-,7.14,1.12,Yes,0.14,Nov 14 AMC,-,1.19M,2.50,55.93%,50.88%,-57.88%,"Rigetti Computing, Inc. operates as an integrated systems company. The company builds quantum computers and the superconducting quantum processors that power them. Its machines are integrated into various public, private, or hybrid clouds through its Quantum Cloud Services platform. The company was founded in 2013 and is based in Berkeley, California."
MSGM,Motorsport Games Inc.,Communication Services,Electronic Gaming & Multimedia,USA,187860000.0,,16.07,0.2193,5920055.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Recent Insider Buying']",4,-,-20.40,60.53%,1.87M,-56.57%,-,-5.18,12.40%,0.98M,335.50%,-38.10M,-,-3.73,3.30%,4.11% / 0.03,138.04%,14.80M,12.69,5.40%,-,0.04M,160.07%,3.60,4.46,81.20%,-117.10%,7.25,-60.80%,0.27,58.71,-,-190.30%,2.01,49.50,287.23%,-,-,-,-,-67.54%,-,-,0.60,-,43.40%,699.50%,5.31,145,0.60,-42.90%,-,56.69,39.53%,39.32%,No,0.46,-29.60%,-,4.55,13.18,No,0.00,Nov 10 AMC,-,1.30M,3.00,82.34%,161.39%,138.68%,"Motorsport Games Inc. develops and publishes multi-platform racing video games in the United States. It operates through Gaming and Esports segments. The company offers video games for game consoles, personal computer, and mobile platforms through various retail and digital channels, including full-game and downloadable content. It also organizes and facilitates esports tournaments, competitions, and events for its licensed racing games, as well as on behalf of third-party racing game developers and publishers. The company sells its video game products through various retail and digital channels. Motorsport Games Inc. was founded in 2018 and is headquartered in Miami, Florida. Motorsport Games Inc. operates as a subsidiary of Motorsport Network LLC."
KD,"Kyndryl Holdings, Inc.",Technology,Information Technology Services,USA,3870000000.0,,16.48,0.2144,5486032.0,"['Top Gainers', 'Most Volatile', 'Overbought']",3,-,-6.67,1.30%,226.80M,20.91%,-,-2.42,6.19%,202.91M,30.79%,-1500.00M,-,-0.82,65.80%,5.60% / 6.41,82.30%,17.45B,0.22,-15.20%,4.73%,11.36M,51.33%,7.28,2.26,38.10%,-11.90%,13.33,5.24%,8.04,2.05,-,-66.10%,7.93,16.63,48.20%,-,10.37,-,-39.10%,-0.90%,-,-,1.10,-,14.30%,107.82%,0.66,90000,1.10,-8.70%,-7.70%,80.14,5.73%,3.96%,Yes,1.94,59.90%,-8.60%,3.09,13.57,Yes,1.88,Feb 07 AMC,-,1.77M,3.00,27.78%,38.42%,52.29%,"Kyndryl Holdings, Inc. operates as a technology services company and IT infrastructure services provider worldwide. The company offers cloud services; core enterprise and cloud services; application, data, and artificial intelligence services; digital workplace services; security and resiliency services; and network services and edge services. It serves financial, telecommunications, retail, automobile, and transportation industries. The company was incorporated in 2020 and is headquartered in New York, New York."
DBTX,"Decibel Therapeutics, Inc.",Healthcare,Biotechnology,USA,108870000.0,,4.31,0.2006,586883.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,-2.40,14.20%,24.96M,35.53%,-,-2.52,0.00%,21.42M,48.62%,-60.00M,-,-0.40,72.10%,8.64% / 23.62,27.89%,-,-,-952.60%,0.41%,1.85M,5.64%,3.88,1.11,-10.10%,-36.40%,14.00,1.89%,4.43,0.97,-,-50.10%,1.61,5.78,110.24%,-,-,-,-,-25.43%,-,-,5.40,-,-,167.70%,0.34,62,5.40,-,-,77.56,12.31%,11.06%,Yes,0.00,2.70%,-,7.49,3.59,Yes,0.00,-,-,78.39K,1.50,44.32%,60.25%,28.98%,"Decibel Therapeutics, Inc., a clinical-stage biotechnology company, engages in discovering and developing transformative treatments for hearing and balance disorders. Its product candidates and programs focuses on three areas, such as Gene Therapies for Congenital, Monogenic Hearing Loss designed to restore functional cells within the cochlea to address hearing disorders caused by single gene mutations; Gene Therapies for Hair Cell Regeneration designed to replace lost hair cells within the inner ear to address acquired hearing loss and balance disorders; and Otoprotection Therapeutic in clinical development to prevent hearing loss in cancer patients undergoing chemotherapy with cisplatin. The company's lead gene therapy product candidate is DB-OTO to provide hearing to individuals born with profound hearing loss due to mutation of the otoferlin gene. It is also developing DB-ATO and AAV.201, a gene therapy program designed to restore balance in patients with bilateral vestibulopathy by regenerating lost hair cells within the vestibule; DB-020 for the prevention of cisplatin-induced hearing loss, which is in Phase 1b clinical trial; AAV.103 to restore hearing in individuals with a gap junction beta-2 (GJB2) deficiency; AAV.104 to restore hearing in individuals with stereocilin (STRC) deficiency; and cochlear hair cell regeneration program, an AAV-based gene therapy that utilizes cell-selective expression of reprogramming factors to convert supporting cells into outer hair cells. Decibel Therapeutics, Inc. has a strategic collaboration with Regeneron Pharmaceuticals, Inc. to develop gene therapies for monogenic forms of congenital hearing loss. The company was formerly known as Hearing Inc. and changed its name to Decibel Therapeutics, Inc. in April 2014. Decibel Therapeutics, Inc. was incorporated in 2013 and is headquartered in Boston, Massachusetts."
XIN,"Xinyuan Real Estate Co., Ltd.",Real Estate,Real Estate - Development,China,34110000.0,,6.8,0.1942,48144.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Overbought']",4,-,-99.88,-,5.35M,43.66%,-,-,-,0.54M,60.19%,-536.30M,-,-,2.80%,0.13% / 0.07,61.59%,1.33B,0.03,-,-9.64%,0.00M,38.65%,6.38,1.07,-,-7.50%,-,6.11%,146.77,0.05,-,-137.70%,2.95,12.30,69.45%,-,-,-56.30%,-7.20%,-44.76%,0.99,-,0.40,-0.30%,1.00%,130.34%,0.30,1701,1.10,-10.90%,-17.10%,86.76,9.96%,4.61%,Yes,61.62,-895.80%,-40.20%,5.20,5.69,Yes,18.32,-,-,9.25K,2.00,44.53%,54.78%,7.73%,"Xinyuan Real Estate Co., Ltd., together with its subsidiaries, engages in residential real estate development and construction in the People's Republic of China, the United States, and internationally. It develops residential projects, such as multi-layer apartment buildings, sub-high-rise apartment buildings, high-rise apartment buildings; and auxiliary services and amenities, such as retail outlets, leisure and health facilities, kindergartens, and schools, as well as office, mixed-use, and commercial properties. The company also acquires development sites through public auctions of government land and acquisitions of entities. In addition, it provides property management services for its developments and other real estate-related services; landscaping, engineering and management, real estate consulting, leasing management, management consulting, and technical services; operates retail stores; and installs intercom systems. Further, it engages in the purchase, sale, lease, and brokerage of real estate; sale of construction materials; development and sale of robots; operation of internet platform for real estate property financing; and provision of electronic commerce and catering services. Xinyuan Real Estate Co., Ltd. was founded in 1997 and is based in Beijing, the People's Republic of China."
ZCMD,Zhongchao Inc.,Healthcare,Health Information Services,China,34880000.0,133.0,1.33,0.1928,2746411.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,0.01,17.96%,26.01M,17.70%,-,-,0.00%,16.83M,12.33%,-,-,-,0.21%,0.54% / 11.99,17.70%,14.98M,2.33,-,-,0.09M,9.02%,1.28,1.04,-,-,-,-20.36%,-,-,-,-,0.60,1.83,15.79%,-,-,-,-,-27.32%,-,-,-,-,-,121.67%,0.08,136,-,-15.30%,-,74.12,10.36%,5.51%,No,-,-90.70%,-,365.20,1.12,Yes,-,-,-,7.52K,-,15.18%,12.10%,11.13%,"Zhongchao Inc. provides healthcare information, education, and training services in the People's Republic of China. The company offers online and onsite health information services, healthcare education programs, and healthcare training products, including clinical practice training, open classes of popular medical topics, interactive case studies, academic conference and workshops, continuing education courses, and articles and short videos with educational healthcare content. It also provides customized medical courses and medical training services; and patient management services through online platform under the Zhongxun brand. The company operates through its mdmooc.org online platform under the MDMOOC brand; and Sunshine Health Forums, a Wechat subscription account and mobile app. It serves enterprises, non-for-profit organizations, and medical journals, as well as healthcare professionals, nurses, doctors, and other healthcare workers. The company was founded in 2012 and is headquartered in Shanghai, China."
