Ticker,Company,Sector,Industry,Country,Market_Cap,P_E,Price,Change,Volume,Signals,NoOf_Signals,Index,EPS_(ttm),Insider_Own(%),Shs_Outstand,Perf_Week(%),Forward_P_E,EPS_next_Y,Insider_Trans(%),Shs_Float,Perf_Month(%),Income,PEG,EPS_next_Q,Inst_Own(%),Perf_Quarter(%),Sales,P_S,EPS_this_Y(%),Inst_Trans(%),Short_Interest,Perf_Half_Y(%),Book_sh,P_B,EPS_next_Y_Percentage(%),ROA(%),Target_Price,Perf_Year(%),Cash_sh,P_C,EPS_next_5Y(%),ROE(%),52W_Range_From,52W_Range_To,Perf_YTD(%),Dividend,P_FCF,EPS_past_5Y(%),ROI(%),52W_High(%),Beta,Dividend_%(%),Quick_Ratio,Sales_past_5Y(%),Gross_Margin(%),52W_Low(%),ATR,Employees,Current_Ratio,Sales_Q_Q(%),Oper._Margin(%),RSI_(14),Volatility_W(%),Volatility_M(%),Optionable,Debt_Eq,EPS_Q_Q(%),Profit_Margin(%),Rel_Volume,Prev_Close,Shortable,LT_Debt_Eq,Payout(%),Avg_Volume,Recom,SMA20(%),SMA50(%),SMA200(%),Date,Short_Float_Percentage(%),Short_Float_Ratio,Earnings_Date,Earnings_Timing
TMDI,Titan Medical Inc.,Healthcare,Medical Devices,Canada,27410000,,0.25,0.8216,124336924,"['Most Active', 'Top Gainers', 'Unusual Volume']",3,-,-0.08,0.08,111890000,18.33,,,0.0,111590000.0,75.36,,,,4.12,44.86,10000000.0,2.74,,,130000.0,53.33,0.06,3.95,,,,60.31,,,,,0.13,1.20,62.91,,,,,79.58,,,,,,88.03,0.11,49,,,,28.73,49.71,23.03,False,,,,123.00,0.13,True,,,1010000,3.0,66.35,67.34,55.78,2023-02-15,0.12,0.13,2022-11-10,BMO
SERA,"Sera Prognostics, Inc.",Healthcare,Diagnostics & Research,USA,64920000,,2.27,0.7328,57328011,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-1.52,0.2,31010000,81.6,,-1.71,0.0,25210000.0,46.45,-46900000.0,,-0.37,51.9,57.64,200000.0,324.61,76.4,0.3,70000.0,10.63,3.46,0.66,15.5,35.9,3.0,67.57,3.1,0.73,,38.3,1.1,7.22,80.16,,,,,68.54,,,10.5,,35.4,106.36,0.21,115,10.5,278.3,,74.97,17.43,8.77,False,0.01,6.9,,2046.48,1.31,True,0.01,,28010,1.7,59.55,64.65,37.03,2023-02-15,0.26,2.38,2022-11-09,AMC
IREN,Iris Energy Limited,Financial,Capital Markets,Australia,248510000,,4.28,0.6698999999999999,6051957,"['Earnings After', 'Most Volatile', 'Overbought', 'Top Gainers', 'Unusual Volume']",5,-,-10.25,23.97,54980000,106.02,,-0.35,0.0,41800000.0,119.23,-419800000.0,,-0.13,21.8,69.64,59000000.0,4.21,834.4,4.68,1060000.0,26.29,10.68,0.4,31.4,71.6,6.3,69.68,1.89,2.26,,181.8,1.02,17.97,242.0,,,,0.4,76.21,,,1.9,,,319.12,0.40,102,1.9,646.8,0.4,82.24,35.55,15.66,True,0.25,834.4,,14.18,2.56,True,0.11,,426650,2.3,101.94,154.28,17.38,2023-02-15,2.53,2.48,2023-02-15,AMC
RDW,Redwire Corporation,Industrials,Aerospace & Defense,USA,235720000,,3.78,0.4882,17419079,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-1.88,2.3,63460000,40.0,,-0.22,13.4,25100000.0,40.0,-118500000.0,,-0.13,16.1,51.2,147900000.0,1.59,291.8,6.26,1670000.0,9.25,0.23,16.43,87.7,53.6,10.0,32.01,0.11,33.67,,199.6,1.67,8.78,90.91,,,,31.7,56.95,,,0.7,,18.5,126.35,0.29,606,0.8,13.8,92.6,76.93,18.95,10.29,True,6.35,57.5,80.1,136.03,2.54,True,6.05,,128060,1.0,48.18,66.67,26.3,2023-02-15,6.63,13.0,2022-11-08,AMC
DGLY,"Digital Ally, Inc.",Industrials,Security & Protection Services,USA,296950000,,5.4,0.3333,1791751,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-3.38,7.79,2520000,0.93,,-8.1,0.0,2490000.0,3.67,-8500000.0,,-2.4,13.9,24.62,39900000.0,7.44,517.3,70.67,140000.0,65.99,18.96,0.28,32.8,11.3,60.0,74.53,0.11,47.13,20.0,17.4,4.02,24.40,16.03,,,17.2,25.9,77.87,0.82,,1.7,5.3,16.2,34.33,0.69,146,2.5,84.8,55.3,48.34,13.0,11.9,True,0.03,124.3,21.3,60.72,4.05,False,0.01,,29510,2.0,8.03,3.13,52.73,2023-02-15,5.78,4.87,2022-11-14,BMO
TTD,"The Trade Desk, Inc.",Technology,Software - Application,USA,-2147483648,,66.3,0.3281,33369630,"['Earnings Before', 'Major News', 'Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",6,-,-0.02,0.2,487960000,28.12,62.84,1.05,0.11,441170000.0,40.85,-9800000.0,,0.36,77.2,38.82,1480000000.0,22.42,44.1,0.24,14760000.0,10.09,3.92,16.91,2.83,0.3,61.97,13.34,2.64,25.16,24.0,0.6,39.0,86.88,47.89,,67.67,43.3,9.2,23.69,1.84,,1.9,42.6,81.9,70.0,3.58,1967,1.9,31.1,0.8,74.13,7.07,5.4,True,0.0,73.4,0.7,8.26,49.92,True,0.0,,4040000,2.1,33.0,38.51,27.1,2023-02-15,3.35,3.66,2023-02-15,BMO
QS,QuantumScape Corporation,Consumer Cyclical,Auto Parts,USA,-2147483648,,11.84,0.32289999999999996,16274301,"['Earnings After', 'Most Active', 'Most Volatile', 'Recent Insider Selling', 'Top Gainers']",5,-,-0.86,1.4,434050000,30.25,,-0.86,16.35,262339999.99999997,55.99,-370100000.0,,-0.21,36.7,55.58,,,98.3,3.71,58730000.0,6.85,3.19,3.71,1.1,22.6,12.11,25.16,2.53,4.67,25.88,24.7,5.11,22.21,108.82,,,,,46.69,,,25.7,,,131.7,0.89,570,25.7,,,73.99,14.3,10.71,True,0.03,842.9,,2.27,8.95,False,0.03,,7180000,3.1,40.04,63.81,25.9,2023-02-15,22.39,8.18,2023-02-15,AMC
SI,Silvergate Capital Corporation,Financial,Banks - Regional,USA,742360000,,22.32,0.2857,37222191,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-29.96,0.2,31660000,28.35,16.88,1.32,0.0,25710000.0,67.44,-948700000.0,,0.01,79.9,37.11,327300000.0,2.27,114.5,0.96,20220000.0,78.57,42.06,0.53,56.82,0.6,15.67,81.03,63.18,0.35,33.8,6.9,10.81,162.65,28.28,,6.05,50.6,7.5,86.28,,,,25.7,,106.48,2.73,279,,139.6,60.9,62.89,16.12,16.46,True,0.01,45.6,31.3,4.38,17.36,True,0.01,,8500000,2.7,43.25,33.11,61.91,2023-02-15,78.64,2.38,2023-01-17,BMO
UPST,"Upstart Holdings, Inc.",Financial,Credit Services,USA,1790000000,,21.59,0.2813,28987292,"['Channel Down', 'Downgrades', 'Most Active', 'Most Volatile', 'Recent Insider Selling', 'Top Gainers', 'Unusual Volume', 'Upgrades']",8,-,-0.09,1.7,81670000,13.87,407.36,0.05,3.53,69990000.0,24.87,5500000.0,,-0.47,39.4,5.01,1040000000.0,1.72,101.3,15.04,28090000.0,40.49,8.8,2.45,266.7,0.3,14.92,79.36,8.24,2.62,30.0,0.7,12.01,161.00,63.31,,,,9.5,86.59,,,,,82.1,79.77,2.14,1497,,14.8,0.5,60.66,11.29,11.41,True,0.0,327.1,0.5,5.25,16.85,True,1.28,,5530000,3.6,16.52,30.81,21.35,2023-02-15,40.13,5.08,2023-02-14,AMC
BZFD,"BuzzFeed, Inc.",Communication Services,Internet Content & Information,USA,290410000,13.38,2.1,0.2727,29046522,"['Most Active', 'Most Volatile', 'Top Gainers']",3,-,0.16,1.4,138940000,12.3,,-0.45,84.86,68980000.0,96.26,-79800000.0,,-0.03,35.6,30.43,447800000.0,0.65,0.0,2.98,7120000.0,8.81,2.11,1.0,37.5,12.5,2.17,45.74,0.43,4.91,,24.3,0.64,5.71,204.52,,,,0.0,63.22,,,1.7,,43.1,229.57,0.39,1522,1.7,15.1,19.1,57.26,16.49,25.99,True,0.51,579.6,17.8,2.72,1.65,True,0.51,,10680000,3.0,17.77,66.1,9.19,2023-02-15,10.32,0.67,2022-11-14,AMC
RBLX,Roblox Corporation,Communication Services,Electronic Gaming & Multimedia,USA,-2147483648,,45.08,0.2638,49794082,"['Earnings Before', 'Major News', 'Most Active', 'Top Gainers', 'Unusual Volume']",5,-,-1.31,0.5,597780000,20.18,,-1.77,33.81,473610000.0,21.44,-777700000.0,,-0.52,75.0,26.63,2210000000.0,12.78,82.4,6.3,27920000.0,5.61,0.71,63.49,11.3,16.2,36.26,34.02,4.81,9.37,23.63,147.0,21.65,73.71,58.4,,484.83,,31.5,38.84,,,1.6,,74.8,108.22,2.74,1600,1.6,1.6,34.4,69.34,5.67,6.45,True,2.33,289.4,35.1,3.83,35.67,True,2.33,,12990000,2.7,23.08,37.77,24.88,2023-02-15,5.9,2.15,2023-02-15,BMO
NRDS,"NerdWallet, Inc.",Financial,Credit Services,USA,1350000000,,18.0,0.2605,3679395,"['Most Volatile', 'New High', 'Overbought', 'Top Gainers', 'Unusual Volume']",5,-,-0.41,11.1,73400000,30.62,,-0.04,0.18,41200000.0,73.75,-27000000.0,,0.07,54.5,40.73,496400000.0,2.71,901.9,0.55,1860000.0,61.0,4.34,4.15,78.9,6.9,17.71,32.06,,,,9.9,7.07,15.00,87.5,,174.76,,17.0,20.0,,,2.9,,93.0,154.6,0.83,675,2.9,49.1,7.3,91.31,8.53,5.82,True,0.22,101.7,5.4,11.63,14.28,True,0.22,,316400,1.6,47.94,67.36,70.66,2023-02-15,4.51,5.87,2023-02-14,AMC
HLF,Herbalife Nutrition Ltd.,Consumer Defensive,Packaged Foods,USA,2060000000,6.99,21.27,0.22519999999999998,5382785,"['Most Volatile', 'Top Gainers']",2,-,3.04,1.5,98000000,27.06,6.55,3.25,10.3,96620000.0,25.41,305100000.0,,0.32,,25.41,5340000000.0,0.39,49.1,2.25,10700000.0,29.19,-13.9,,3.16,10.9,23.67,49.2,5.49,3.87,0.5,21.7,12.04,44.18,42.94,,9.22,22.3,43.5,51.86,1.16,,0.9,5.3,77.4,76.66,1.05,10800,1.4,9.5,10.1,74.85,8.11,5.55,True,,23.6,5.7,2.92,17.36,True,,,1840000,2.6,24.45,35.22,2.07,2023-02-15,11.08,5.8,2023-02-14,AMC
