Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own(%),Shs Outstand,Perf Week(%),Forward P/E,EPS next Y,Insider Trans(%),Shs Float,Perf Month(%),Income,PEG,EPS next Q,Inst Own(%),Perf Quarter(%),Sales,P/S,EPS this Y(%),Inst Trans(%),Short Interest,Perf Half Y(%),Book/sh,P/B,EPS next Y Percentage(%),ROA(%),Target Price,Perf Year(%),Cash/sh,P/C,EPS next 5Y(%),ROE(%),52W Range From,52W Range To,Perf YTD(%),Dividend,P/FCF,EPS past 5Y(%),ROI(%),52W High(%),Beta,Dividend %(%),Quick Ratio,Sales past 5Y(%),Gross Margin(%),52W Low(%),ATR,Employees,Current Ratio,Sales Q/Q(%),Oper. Margin(%),RSI (14),Volatility W(%),Volatility M(%),Optionable,Debt/Eq,EPS Q/Q(%),Profit Margin(%),Rel Volume,Prev Close,Shortable,LT Debt/Eq,Payout(%),Avg Volume,Recom,SMA20(%),SMA50(%),SMA200(%),Description,Date,Short Float Percentage(%),Short Float Ratio,Earnings_Date,Earnings_Timing
CSII,"Cardiovascular Systems, Inc.",Healthcare,Medical Devices,USA,555160000,,19.78,0.4861,11164818,"['Earnings Before', 'Most Active', 'Overbought', 'Top Gainers', 'Unusual Volume']",5,-,-0.99,3.3,41880000,34.89,,-0.53,0.0,40290000.0,39.95,-38900000.0,,-0.15,91.5,41.55,237500000.0,2.34,172.4,0.92,1440000.0,21.47,6.11,2.18,20.9,12.1,20.4,8.3,3.45,3.86,,15.5,12.26,23.47,45.19,,,,13.4,15.74,0.84,,5.2,2.9,72.3,61.36,1.00,725,6.2,2.2,16.3,80.78,4.55,4.1,True,0.08,21.7,16.4,61.60,13.31,True,0.08,,260730,2.7,43.26,43.41,34.77,"Cardiovascular Systems, Inc., a medical technology company, develops and commercializes solutions to treat peripheral and coronary artery diseases in the United States and internationally. The company offers peripheral artery disease products comprising catheter-based platforms to treat various plaque types in above and below the knee, including calcified plaque, as well as address various limitations related with surgical, catheter, and pharmacological treatment alternatives; and peripheral support products. It also provides Diamondback 360 Coronary orbital atherectomy systems (OAS), a coronary artery disease (CAD) product designed to facilitate stent delivery in patients with CAD who are acceptable candidates for percutaneous transluminal coronary angioplasty or stenting due to severely calcified coronary artery lesions. In addition, it offers guidewires, catheters, balloons, embolic protection system, and other OAS support products. Cardiovascular Systems, Inc. has a partnership with Chansu Vascular Technologies, LLC to develop novel peripheral and coronary everolimus drug-coated balloons. The company was formerly known as Shturman Cardiology Systems, Inc. and changed its name to Cardiovascular Systems, Inc. in January 2003. Cardiovascular Systems, Inc. was founded in 1989 and is headquartered in Saint Paul, Minnesota.",2023-02-09,3.57,5.52,2023-02-09,BMO
EIGR,"Eiger BioPharmaceuticals, Inc.",Healthcare,Biotechnology,USA,92090000,,2.77,0.3554,7235816,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-2.41,5.44,44010000,28.6,,-1.85,5.03,41760000.0,106.34,-93400000.0,,-0.54,70.7,31.56,14100000.0,6.53,56.8,2.1,1200000.0,70.24,1.78,1.15,19.2,63.6,9.2,37.58,2.68,0.76,,106.5,0.96,10.02,134.32,,,33.8,73.9,72.41,1.92,,5.3,,88.7,188.02,0.23,54,5.4,33.3,,73.29,8.81,9.69,True,0.5,5.9,,10.23,2.04,True,0.5,,1020000,1.0,66.62,47.28,50.64,"Eiger BioPharmaceuticals, Inc., a commercial-stage biopharmaceutical company, focuses on the development and commercialization of targeted therapies for rare and ultra-rare diseases in the United States and internationally. Its lead product candidate is Lonafarnib, an orally bioavailable, small molecule, which is in Phase III clinical trials to treat hepatitis delta virus infection. The company's product candidate also include Lambda, which targets type III interferon receptors that has completed Phase II clinical trials; Lonafarnib for the treatment of progeria and progeroid laminopathies; and Avexitide for the treatment of congenital hyperinsulinism, as well as has completed Phase II clinical trials to treat post-bariatric hypoglycemia. Eiger BioPharmaceuticals, Inc. was founded in 2008 and is headquartered in Palo Alto, California.",2023-02-09,2.88,1.18,2022-11-03,AMC
SLQT,"SelectQuote, Inc.",Financial,Insurance Brokers,USA,265050000,,2.04,0.3477,37301474,"['Most Active', 'Most Volatile', 'Overbought', 'Top Gainers', 'Unusual Volume']",5,-,-1.78,4.3,164820000,124.26,,-0.25,0.32,117280000.0,132.45,-292800000.0,,-0.03,63.4,198.04,769000000.0,0.34,340.5,1.63,2150000.0,3.52,2.16,0.7,56.1,21.6,1.27,41.32,0.41,3.73,9.7,67.4,0.51,3.60,200.43,,,,23.1,43.93,,,2.6,,37.3,295.8,0.20,1857,2.6,4.1,43.0,89.04,19.28,13.3,True,1.94,12.5,38.1,36.70,1.51,True,1.89,,1460000,3.0,130.96,170.65,37.19,"SelectQuote, Inc. operates a technology-enabled, direct-to-consumer distribution platform that sells a range of insurance products and healthcare services in the United States. The company operates through three segments: Senior; Life; and Auto & Home. It distributes senior health policies, such as medicare advantage, medicare supplement, medicare part D, and other ancillary senior health insurance related policies, including prescription drugs, dental, vision, and hearing plans; term life policies; and non-commercial auto and home property, and casualty policies. The company was incorporated in 1999 and is headquartered in Overland Park, Kansas.",2023-02-09,1.84,1.47,2023-02-07,BMO
OMGA,"Omega Therapeutics, Inc.",Healthcare,Biotechnology,USA,251610000,,6.46,0.34299999999999997,154308,"['Most Volatile', 'TL Support', 'Top Gainers', 'Unusual Volume']",4,-,-1.94,1.6,47850000,17.81,,-2.71,3.46,46280000.0,21.7,-92700000.0,,-0.63,88.8,39.83,1300000.0,193.55,383.6,0.25,330000.0,32.65,2.79,1.72,27.2,45.6,15.0,49.65,2.84,1.7,,55.1,1.98,14.31,13.13,,,,,54.86,,,11.0,,,227.09,0.82,79,11.0,,,46.0,13.34,12.86,True,0.16,6.0,,4.19,4.81,True,0.15,,52970,1.8,15.42,4.95,27.18,"Omega Therapeutics, Inc. operates as a clinical-stage biotechnology company. Its OMEGA Epigenomic Programming platform harnesses the power of epigenetics, as well as the mechanism that controls gene expression and aspect of an organism's life. The company's platform enables control of fundamental epigenetic processes to correct the root cause of disease by returning aberrant gene expression to a range without altering native nucleic acid sequences. Its modular and programmable mRNA medicines, and Omega Epigenomic Controllers are designed to target specific epigenomic loci within insulated genomic domains from genome-wide DNA-sequences with single or multiple genes to treat and cure diseases through Precision Genomic Control. The company is advancing a pipeline of development candidates covering a range of disease areas, including oncology, regenerative medicine, multigenic diseases, and select monogenic diseases. The company was incorporated in 2016 and is headquartered in Cambridge, Massachusetts.",2023-02-09,0.71,6.16,,
APP,AppLovin Corporation,Technology,Software - Application,USA,-2147483648,,16.6,0.3091,10189160,"['Most Active', 'Top Gainers', 'Unusual Volume']",3,-,-0.23,4.3,369390000,16.91,41.85,0.3,22.33,181080000.0,59.98,-85000000.0,,0.06,49.3,9.29,2910000000.0,1.74,126.6,0.82,17750000.0,59.0,5.09,2.49,220.0,3.8,23.52,76.57,2.36,5.36,,11.5,9.14,76.38,57.55,,23.31,,2.2,78.28,,,3.4,,60.4,81.51,1.04,1594,3.4,1.9,5.3,73.51,6.0,6.02,True,1.71,13254.5,7.9,4.04,12.68,True,1.69,,3640000,2.3,38.85,46.47,32.01,"AppLovin Corporation engages in building a software-based platform for mobile app developers to enhance the marketing and monetization of their apps in the United States and internationally. The company's software solutions include AppDiscovery, a marketing software solution, which matches advertiser demand with publisher supply through auctions; Adjust, an analytics platform that helps marketers grow their mobile apps with solutions for measuring, optimizing campaigns, and protecting user data; and MAX, an in-app bidding software that optimizes the value of an app's advertising inventory by running a real-time competitive auction. Its business clients include various advertisers, publishers, internet platforms, and others. The company was incorporated in 2011 and is headquartered in Palo Alto, California.",2023-02-09,9.8,4.88,2023-02-08,AMC
BLBD,Blue Bird Corporation,Consumer Cyclical,Auto Manufacturers,USA,461470000,,17.71,0.2833,979047,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-1.45,0.9,32020000,14.61,11.17,1.24,0.0,21640000.0,23.64,-45800000.0,,-0.29,92.9,91.54,800600000.0,0.58,120.9,4.48,600000.0,49.08,0.04,345.0,404.08,11.5,18.83,17.47,0.31,43.95,15.0,204.7,7.14,22.10,67.04,,,31.9,17.2,19.05,1.42,,0.2,4.2,4.6,150.74,1.16,1593,1.1,34.1,5.2,68.99,5.96,5.57,True,123.14,721.7,5.7,8.69,13.80,True,108.57,,162270,2.0,20.65,39.8,57.44,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",2023-02-09,2.79,3.71,2023-02-08,AMC
ONVO,"Organovo Holdings, Inc.",Healthcare,Diagnostics & Research,USA,17600000,,2.46,0.2706,953152,"['Most Volatile', 'Top Gainers', 'Unusual Volume']",3,-,-1.37,2.3,8710000,41.62,,,0.0,8630000.0,55.96,-11900000.0,,,17.8,54.01,1600000.0,11.0,46.0,0.5,300000.0,26.44,2.87,0.68,,37.7,,20.51,2.64,0.74,,41.9,1.37,4.67,74.77,,,30.1,38.0,47.23,0.98,,17.5,18.7,,79.87,0.17,14,17.5,,,79.12,9.12,8.56,True,0.0,5.3,,46.49,1.94,True,0.0,,29540,3.0,47.73,53.25,14.96,"Organovo Holdings, Inc., a biotechnology company, focuses on developing 3D tissues that recapitulate key aspects of human disease. Its 3D human tissue platform includes its proprietary NovoGen Bioprinters, which are automated devices that enable the fabrication of 3D living tissues comprised mammalian cells; and related technologies for preparing bio-inks and bioprinting multicellular tissues with complex architecture. The company offers ExVive human liver tissue and ExVive human kidney tissue used for predictive preclinical testing of drug compounds. The company was incorporated in 2007 and is headquartered in Solana Beach, California.",2023-02-09,3.49,10.19,,
MARK,"Remark Holdings, Inc.",Communication Services,Internet Content & Information,USA,18210000,,2.62,0.2408,9294708,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-0.81,10.65,105290000,82.79,,,0.0,10010000.0,86.76,-85100000.0,,,9.8,8.67,16399999.999999998,1.11,268.9,,1260000.0,42.73,-0.14,,,197.2,,72.73,0.05,45.52,,,1.0,9.81,134.3,,,16.8,22.9,73.72,2.94,,0.4,23.1,13.4,157.73,0.31,74,0.5,133.3,97.4,72.36,27.84,18.25,True,,111.7,,15.17,2.11,True,,,890980,,75.36,63.0,23.88,"Remark Holdings, Inc. primarily focuses on the development and deployment of artificial intelligence-based solutions for businesses and software developers. It operates a data and AI software platform under the Remark AI name in the United States and the KanKan AI name in the Asia Pacific region that offers AI-based computer vision products, computing devices, and software-as-a-service solutions for the retail, urban life cycle, workplace and food safety, railway safety, and biosafety industries. The company also provides Thermal kits, which includes a thermal imaging camera, calibrating device, computer to monitor the video feed, supporting equipment, and AI software to scan crowds and areas of high foot traffic for indications that certain persons with elevated temperatures may require secondary screening; and rPad thermal imaging devices, a single-post stand to scan individuals on a one-by-one basis for authorized entry. In addition, it owns and operates Sharecare, a web-based platform that facilitates search for health and wellness information; and Bikini.com, an e-commerce website that sells swimwear and accessories in the latest styles, as well as offers advertising services. The company was formerly known as Remark Media, Inc. and changed its name to Remark Holdings, Inc. in April 2017. Remark Holdings, Inc. was incorporated in 2006 and is headquartered in Las Vegas, Nevada.",2023-02-09,12.58,1.41,2022-11-14,AMC
GENE,Genetic Technologies Limited,Healthcare,Diagnostics & Research,Australia,15880000,,1.75,0.1973,12992486,"['Most Active', 'Most Volatile', 'Top Gainers', 'Unusual Volume']",4,-,-0.33,,15390000,74.25,,,,13450000.0,86.71,-5000000.0,,,1.0,58.55,4800000.0,3.31,7.2,36.3,50000.0,6.02,0.76,1.92,,33.5,,7.86,0.76,1.91,,38.1,0.83,2.40,89.24,,,27.9,44.1,26.67,1.76,,3.8,67.3,55.6,112.04,0.19,52,3.9,443.7,,69.54,19.31,9.79,True,0.04,52.1,,10.13,1.46,False,0.03,,1850000,,58.49,63.88,38.33,"Genetic Technologies Limited, a molecular diagnostics company, provides predictive genetic testing and risk assessment tools to help physicians manage people's health in the United States, Canada, Europe, the Middle East, Africa, Latin America, and the Asia Pacific. It operates in two segments, EasyDNA and GeneType/Corporate. The company offers BREVAGenplus, a clinically validated risk assessment test for non-hereditary breast cancer. It also markets BREVAGenplus to healthcare professionals in breast health care and imaging centers, as well as to obstetricians/gynecologists and breast cancer risk assessment specialists, such as breast surgeons. In addition, the company offers various cancer risk assessment tests under the GeneType for Colorectal Cancer and GeneType for Breast Cancer brand names; and develops other risk assessment tests across a range of diseases, which include colorectal cancer, ovarian cancer, prostate cancer, coronary artery, and type 2 diabetes. Further, it offers genetic testing services, including medical, animal, forensic, and plant testing. The company has research and collaboration agreements with the University of Melbourne, Translational Genomics Research Institute, Memorial Sloan Kettering New York Cambridge University, the Ohio State University, and Shivom. Genetic Technologies Limited was incorporated in 1987 and is headquartered in Fitzroy, Australia.",2023-02-09,0.39,0.03,,
DMTK,"DermTech, Inc.",Healthcare,Diagnostics & Research,USA,148250000,,5.9,0.19149999999999998,834547,Top Gainers,1,-,-3.83,2.3,30100000,7.09,,-3.7,13.55,29090000.0,84.16,-114500000.0,,-0.96,43.4,206.29,14700000.0,10.09,26.2,27.05,2560000.0,3.53,5.15,0.96,5.6,51.0,7.83,56.05,4.98,0.99,,59.7,1.55,16.33,233.98,,,,33.7,63.8,1.96,,9.4,,7.7,281.38,0.62,255,9.5,20.0,,65.15,8.92,19.22,True,0.0,40.9,,1.61,4.95,True,0.0,,760860,1.7,15.22,76.36,18.93,"DermTech, Inc., a molecular diagnostic company, develops and markets novel non-invasive genomics tests to diagnosis skin cancer, inflammatory diseases, and aging-related conditions in the United States. It offers DermTech Melanoma Test (DMT), a gene expression test that enhances early detection of genomic atypia and helps rule out melanoma and the need for a surgical biopsy of atypical pigmented lesions. The company also provides adhesive skin sample collection kits, as well as gene expression assays for the Th1, Th2, IFN-gamma, and Th17 inflammatory pathways. In addition, it is developing UV damage DNA risk assessment products, as well as non-melanoma skin cancer diagnostic and cutaneous T-cell lymphoma rule out test products, as well as offering health-related and information services through electronic information and telecommunication technologies. The company sells its products primarily to pathology and oncology practitioners. DermTech, Inc. is headquartered in La Jolla, California.",2023-02-09,8.8,3.36,2022-11-03,AMC
