Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
THOMPSON JAMES H,Chief Technology Officer,Feb 16,Sale,131.8,9999.0,1317870.0,269238.0,Feb 17 04:50 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831623000007/xslF345X03/edgardoc.xml,1559656
ROGERS ALEXANDER H,President QTL & Global Affairs,Feb 03,Sale,131.48,27626.0,3632290.0,23637.0,Feb 07 04:11 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831623000006/xslF345X03/edgardoc.xml,1687791
CATHEY JAMES J,Chief Commercial Officer,Jan 03,Sale,111.09,2084.0,231512.0,2664.0,Jan 04 04:10 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831623000005/xslF345X03/edgardoc.xml,1922250
ROGERS ALEXANDER H,President QTL & Global Affairs,Dec 06,Sale,122.33,26427.0,3232884.0,51179.0,Dec 07 04:16 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000056/xslF345X03/edgardoc.xml,1687791
POLEK ERIN L,"SVP, Controller & CAO",Nov 21,Sale,121.1,2894.0,350463.0,0.0,Nov 21 06:10 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000052/xslF345X03/edgardoc.xml,1760245
CATHEY JAMES J,Chief Commercial Officer,Nov 20,Option Exercise,0.0,6368.0,0.0,6158.0,Nov 21 06:11 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000054/xslF345X03/edgardoc.xml,1922250
POLEK ERIN L,"SVP, Controller & CAO",Nov 20,Option Exercise,0.0,4425.0,0.0,3611.0,Nov 21 06:10 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000052/xslF345X03/edgardoc.xml,1760245
Palkhiwala Akash J.,Chief Financial Officer,Nov 20,Option Exercise,0.0,1974.0,0.0,55497.0,Nov 21 06:10 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000053/xslF345X03/edgardoc.xml,1786420
CATHEY JAMES J,Chief Commercial Officer,Nov 16,Option Exercise,0.0,525.0,0.0,1232.0,Nov 17 05:42 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000051/xslF345X03/edgardoc.xml,1922250
CHAPLIN ANN C,General Counsel,Nov 01,Option Exercise,0.0,5551.0,0.0,5551.0,Nov 03 04:10 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000050/xslF345X03/edgardoc.xml,1888491
ROGERS ALEXANDER H,President QTL & Global Affairs,Oct 03,Sale,114.99,5591.0,642909.0,44572.0,Oct 04 04:31 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000049/xslF345X03/edgardoc.xml,1687791
AMON CRISTIANO R,President & CEO,Oct 01,Option Exercise,0.0,50293.0,0.0,154524.0,Oct 04 04:31 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000047/xslF345X03/edgardoc.xml,1559665
ACE HEATHER S,Chief Human Resources Officer,Oct 01,Option Exercise,0.0,2794.0,0.0,10865.0,Oct 04 04:31 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000048/xslF345X03/edgardoc.xml,1610762
ROGERS ALEXANDER H,President QTL & Global Affairs,Oct 01,Option Exercise,0.0,22097.0,0.0,52921.0,Oct 04 04:31 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000049/xslF345X03/edgardoc.xml,1687791
THOMPSON JAMES H,Chief Technology Officer,Oct 01,Option Exercise,0.0,39777.0,0.0,224657.0,Oct 04 04:30 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000045/xslF345X03/edgardoc.xml,1559656
CATHEY JAMES J,Chief Commercial Officer,Sep 15,Sale,126.51,2084.0,263647.0,917.0,Sep 16 04:27 PM,http://www.sec.gov/Archives/edgar/data/804328/000080432822000010/xslF345X03/edgardoc.xml,1922250
Palkhiwala Akash J.,Chief Financial Officer,Aug 23,Option Exercise,0.0,14598.0,0.0,54822.0,Aug 24 04:11 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000040/xslF345X03/edgardoc.xml,1786420
POLEK ERIN L,"SVP, Controller & CAO",Aug 02,Sale,145.68,70.0,10198.0,0.0,Aug 03 04:49 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000039/xslF345X03/edgardoc.xml,1760245
POLEK ERIN L,"SVP, Controller & CAO",May 23,Sale,129.95,1521.0,197654.0,0.0,May 23 06:21 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000030/xslF345X03/edgardoc.xml,1760245
POLEK ERIN L,"SVP, Controller & CAO",May 20,Option Exercise,0.0,2322.0,0.0,1837.0,May 23 06:21 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000030/xslF345X03/edgardoc.xml,1760245
ACE HEATHER S,Chief Human Resources Officer,May 20,Option Exercise,0.0,7023.0,0.0,10500.0,May 23 06:28 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000034/xslF345X03/edgardoc.xml,1610762
Palkhiwala Akash J.,Chief Financial Officer,May 20,Option Exercise,0.0,1949.0,0.0,40828.0,May 23 06:26 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000032/xslF345X03/edgardoc.xml,1786420
CATHEY JAMES J,Chief Commercial Officer,May 20,Option Exercise,0.0,3217.0,0.0,3398.0,May 23 06:26 PM,http://www.sec.gov/Archives/edgar/data/804328/000188831622000033/xslF345X03/edgardoc.xml,1922250
