,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200
0,CELZ,"Creative Medical Technology Holdings, Inc.",Healthcare,Biotechnology,USA,7630000.0,,1.04,1.0104,137108331.0,"['Top Gainers', 'Most Active', 'Unusual Volume', 'Overbought']",4,-,-1.56,0.90%,14.07M,99.92%,-,-0.51,203.43%,13.72M,147.62%,-7.80M,-,-0.13,9.10%,1.13% / 0.82,110.10%,0.10M,76.30,109.40%,-40.67%,0.16M,37.53%,1.57,0.33,16.40%,-46.70%,10.00,-41.57%,1.15,0.45,-,-48.30%,0.33,5.14,172.89%,-,-,15.00%,-,-79.79%,4.82,-,55.40,-,54.80%,215.15%,0.11,4,55.40,450.00%,-,87.05,10.30%,10.45%,No,0.00,90.70%,-,726.21,0.52,Yes,0.00,-,-,188.80K,2.00,107.34%,139.27%,49.44%
1,KPRX,"Kiora Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,8240000.0,,6.94,0.5253,36051580.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume']",4,-,-40.43,2.30%,1.80M,93.85%,-,-6.11,0.00%,1.66M,95.49%,-16.80M,-,-2.60,7.70%,7.75% / 0.17,15.09%,-,-,19.30%,10.29%,0.13M,12.44%,12.40,0.37,-198.00%,-95.00%,64.50,-74.49%,2.65,1.72,-,-149.30%,2.32,39.18,102.33%,-,-,42.50%,-,-82.29%,0.15,-,2.20,-,-,199.14%,0.79,14,2.20,-,-,79.03,12.89%,11.26%,No,0.00,46.80%,-,48.77,4.55,Yes,0.00,-,-,739.15K,2.00,87.62%,99.57%,-22.33%
2,SOUN,"SoundHound AI, Inc.",Technology,Software - Application,USA,495180000.0,,4.63,0.2861,63299592.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume', 'Overbought']",5,-,-0.58,3.10%,197.01M,124.76%,-,-0.42,-16.12%,119.85M,349.51%,-107.30M,-,-0.17,11.00%,4.17% / 0.99,132.66%,27.00M,18.34,-2.50%,17.00%,4.99M,44.24%,-0.07,-,69.80%,-179.80%,3.70,-,0.24,14.83,-,59.90%,0.93,18.14,161.58%,-,-,-,23.30%,-74.48%,-,-,1.10,-,68.30%,397.85%,0.57,392,1.10,180.00%,-,81.91,35.03%,23.14%,Yes,-,-21.10%,-,12.48,3.60,Yes,-,Nov 10 AMC,-,5.07M,1.70,157.65%,222.49%,37.71%
3,THCH,TH International Limited,Consumer Cyclical,Restaurants,China,633530000.0,,5.3,0.2619,756655.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,-0.66,2.89%,148.35M,83.39%,-,-,0.00%,144.04M,44.41%,-97.70M,-,-,2.10%,0.06% / 0.64,43.24%,138.70M,4.57,-168.80%,-90.23%,0.09M,-46.95%,0.30,14.00,-,-,-,-45.74%,0.75,5.61,-,-,2.54,10.55,90.65%,-,-,-,-43.60%,-49.74%,-,-,0.90,-,64.70%,108.66%,0.51,-,1.00,67.90%,-62.00%,76.99,20.07%,12.55%,Yes,2.41,-75.10%,-70.40%,5.71,4.20,Yes,1.21,-,-,132.63K,-,63.58%,57.42%,-23.38%
4,RGTI,"Rigetti Computing, Inc.",Technology,Computer Hardware,USA,113060000.0,,1.39,0.24109999999999998,8463842.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Recent Insider Selling']",4,-,-0.53,10.60%,118.57M,73.75%,-,-0.51,-13.36%,114.76M,82.89%,-59.10M,-,-0.12,45.80%,3.10% / 3.00,-17.75%,9.10M,12.42,-46.40%,-14.28%,3.55M,-68.05%,1.40,0.80,-15.90%,-,2.50,-86.02%,1.59,0.70,-,-,0.67,11.37,90.62%,-,-,-,73.10%,-87.77%,-,-,10.40,-,-,108.41%,0.13,160,10.40,86.70%,-,75.29,21.00%,11.45%,Yes,0.18,-78.70%,-,7.14,1.12,Yes,0.14,Nov 14 AMC,-,1.19M,2.50,55.93%,50.88%,-57.88%
5,MSGM,Motorsport Games Inc.,Communication Services,Electronic Gaming & Multimedia,USA,154070000.0,,16.07,0.2193,5917283.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Recent Insider Buying']",4,-,-20.40,60.53%,1.87M,-56.57%,-,-5.18,12.40%,0.98M,335.50%,-38.10M,-,-3.73,3.30%,4.11% / 0.03,138.04%,14.80M,10.41,5.40%,-,0.04M,160.07%,3.60,3.66,81.20%,-117.10%,7.25,-60.80%,0.27,48.15,-,-190.30%,2.01,49.50,287.23%,-,-,-,-,-67.54%,-,-,0.60,-,43.40%,699.50%,5.31,145,0.60,-42.90%,-,56.69,53.90%,41.65%,No,0.46,-29.60%,-,4.55,13.18,No,0.00,Nov 10 AMC,-,1.30M,3.00,82.34%,161.39%,138.68%
6,KD,"Kyndryl Holdings, Inc.",Technology,Information Technology Services,USA,3190000000.0,,16.48,0.2144,5483186.0,"['Top Gainers', 'Most Volatile', 'Overbought']",3,-,-6.67,1.30%,226.80M,20.91%,-,-2.42,6.19%,202.91M,30.79%,-1500.00M,-,-0.82,65.80%,5.60% / 6.41,82.30%,17.45B,0.18,-15.20%,4.73%,11.36M,51.33%,7.28,1.86,38.10%,-11.90%,13.33,5.24%,8.04,1.69,-,-66.10%,7.93,16.63,48.20%,-,8.54,-,-39.10%,-0.90%,-,-,1.10,-,14.30%,107.82%,0.66,90000,1.10,-8.70%,-7.70%,80.14,3.61%,3.45%,Yes,1.94,59.90%,-8.60%,3.09,13.57,Yes,1.88,Feb 07 AMC,-,1.77M,3.00,27.78%,38.42%,52.29%
7,DBTX,"Decibel Therapeutics, Inc.",Healthcare,Biotechnology,USA,90680000.0,,4.31,0.2006,586826.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,-2.40,14.20%,24.96M,35.53%,-,-2.52,0.00%,21.42M,48.62%,-60.00M,-,-0.40,72.10%,8.64% / 23.62,27.89%,-,-,-952.60%,0.41%,1.85M,5.64%,3.88,0.93,-10.10%,-36.40%,14.00,1.89%,4.43,0.81,-,-50.10%,1.61,5.78,110.24%,-,-,-,-,-25.43%,-,-,5.40,-,-,167.70%,0.34,62,5.40,-,-,77.56,8.11%,10.61%,Yes,0.00,2.70%,-,7.49,3.59,Yes,0.00,-,-,78.39K,1.50,44.32%,60.25%,28.98%
8,XIN,"Xinyuan Real Estate Co., Ltd.",Real Estate,Real Estate - Development,China,28560000.0,,6.8,0.1942,48144.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Overbought']",4,-,-99.88,-,5.35M,43.66%,-,-,-,0.54M,60.19%,-536.30M,-,-,2.80%,0.13% / 0.07,61.59%,1.33B,0.02,-,-9.64%,0.00M,38.65%,6.38,0.89,-,-7.50%,-,6.11%,146.77,0.04,-,-137.70%,2.95,12.30,69.45%,-,-,-56.30%,-7.20%,-44.76%,0.99,-,0.40,-0.30%,1.00%,130.34%,0.30,1701,1.10,-10.90%,-17.10%,86.76,6.76%,3.82%,Yes,61.62,-895.80%,-40.20%,5.20,5.69,Yes,18.32,-,-,9.25K,2.00,44.53%,54.78%,7.73%
9,ZCMD,Zhongchao Inc.,Healthcare,Health Information Services,China,29240000.0,111.5,1.33,0.1928,2746350.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,0.01,17.96%,26.01M,17.70%,-,-,0.00%,16.83M,12.33%,-,-,-,0.21%,0.54% / 11.99,17.70%,14.98M,1.95,-,-,0.09M,9.02%,1.28,0.87,-,-,-,-20.36%,-,-,-,-,0.60,1.83,15.79%,-,-,-,-,-27.32%,-,-,-,-,-,121.67%,0.08,136,-,-15.30%,-,74.12,3.63%,3.98%,No,-,-90.70%,-,365.19,1.12,Yes,-,-,-,7.52K,-,15.18%,12.10%,11.13%
10,NEWR,"New Relic, Inc.",Technology,Software - Infrastructure,USA,4510000000.0,,76.5,0.18460000000000001,3866441.0,"['Top Gainers', 'Unusual Volume']",2,-,-3.57,0.30%,68.34M,18.53%,94.97,0.68,-78.18%,55.11M,37.44%,-215.20M,-,0.15,85.80%,3.08% / 3.35,50.83%,852.70M,5.29,-22.90%,-1.32%,1.70M,13.25%,6.90,9.36,254.17%,-15.90%,65.17,-28.77%,11.93,5.41,15.00%,-66.60%,41.66,109.86,35.52%,-,146.03,-26.80%,-27.90%,-30.37%,0.94,-,1.10,24.40%,69.30%,83.63%,3.30,2217,1.10,15.90%,-24.50%,78.75,4.04%,3.62%,Yes,1.54,-19.50%,-25.20%,7.63,64.58,Yes,0.00,Feb 07 AMC,-,506.97K,2.50,27.31%,31.85%,34.82%
11,MARK,"Remark Holdings, Inc.",Communication Services,Internet Content & Information,USA,15450000.0,,2.11,0.1788,2695802.0,"['Top Gainers', 'Most Volatile']",2,-,-0.81,10.65%,105.29M,68.80%,-,-,0.00%,10.01M,74.38%,-85.10M,-,-,9.80%,12.58% / 1.48,-33.94%,16.40M,0.94,268.90%,-,1.26M,-53.11%,-0.14,-,-,-197.20%,-,-78.46%,0.05,38.62,-,-,1.00,9.89,91.82%,-,-,16.80%,-22.90%,-78.67%,2.94,-,0.40,-23.10%,13.40%,111.00%,0.28,74,0.50,133.30%,-97.40%,65.40,22.68%,17.00%,Yes,-,-111.70%,-,3.16,1.79,Yes,-,Nov 14 AMC,-,853.25K,-,47.22%,32.61%,-38.05%
12,COEP,"Coeptis Therapeutics, Inc.",Healthcare,Biotechnology,USA,27450000.0,11.95,1.64,0.16449999999999998,709661.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,0.12,51.42%,5.12M,-0.48%,-,-0.13,0.00%,5.07M,-10.28%,1.50M,-,-0.04,55.10%,1.82% / 1.22,-42.59%,0.00M,-,188.10%,-2.27%,0.09M,-83.81%,5.61,0.25,-161.90%,2.70%,6.00,-83.56%,0.00,-,-,2.90%,1.03,21.42,7.23%,-,-,-,-,-92.33%,-,-,0.00,-,-,59.42%,0.22,2,0.00,-,-,47.48,13.62%,9.66%,No,0.01,-113.40%,-,9.38,1.41,Yes,0.00,-,0.00%,75.63K,2.00,-3.62%,-2.66%,-77.61%
13,MHUA,"Meihua International Medical Technologies Co., Ltd.",Healthcare,Medical Instruments & Supplies,China,460160000.0,21.63,19.13,0.1636,33238.0,"['Top Gainers', 'New High', 'Most Volatile']",3,-,0.76,57.86%,22.87M,16.79%,-,-,0.00%,15.21M,95.60%,-,-,-,0.10%,0.25% / 0.80,134.72%,110.51M,4.16,10.00%,211.35%,0.04M,342.82%,6.21,2.65,-,-,-,-,1.22,13.45,-,-,2.60,18.19,131.04%,-,-,-,18.60%,5.16%,-,-,5.40,-,-,635.77%,2.05,622,5.40,18.60%,-,77.52,22.26%,14.89%,No,0.04,-43.70%,-,0.70,16.44,Yes,0.00,Nov 14 BMO,-,47.75K,-,55.28%,80.59%,158.55%
14,AKLI,"Akili, Inc.",Healthcare,Health Information Services,USA,136570000.0,,2.18,0.1474,184377.0,"['Top Gainers', 'Most Volatile']",2,-,-0.26,11.90%,84.16M,38.85%,-,-0.75,0.00%,43.79M,92.92%,-8.30M,-,-0.31,36.90%,0.48% / 1.29,7.39%,0.37M,366.14,-,21.96%,0.21M,-78.16%,7.39,0.26,68.20%,-3.30%,4.00,-77.94%,0.00,1365.72,-,-3.50%,0.86,37.58,94.64%,-,-,-,-,-94.20%,-,-,0.10,-,-,154.96%,0.17,143,0.10,-47.10%,-,71.76,10.63%,10.17%,No,0.00,-,-,1.13,1.90,Yes,0.00,Nov 10 AMC,-,163.15K,2.40,41.83%,54.10%,-59.83%
