,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Description
0,SQL,SeqLL Inc.,Healthcare,Diagnostics & Research,USA,18260000.0,,1.54,1.8544999999999998,105593435.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume', 'Overbought']",5,"SeqLL Inc. operates as a life sciences instrumentation and research services company worldwide. The company designs, develops, and manufactures genetic analysis technologies. It offers true single molecule sequencing (tSMS) platform, which offers a single molecule solution for DNA and RNA sequencing. The company has a collaboration agreement with Bernstein Laboratory, Ting Laboratory, The Jackson Laboratory for Genomic Medicine, Weizmann Institute of Science, True Bearing Diagnostics, Inc., and Tetracore, Inc. It serves academic and government institutions, hospitals and medical centers, pharmaceutical and biotechnology companies, and non-profit research organizations. The company was founded in 2013 and is based in Billerica, Massachusetts."
1,KPRX,"Kiora Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,8240000.0,,4.55,0.3872,28562739.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume']",4,"Kiora Pharmaceuticals, Inc., a clinical-stage specialty pharmaceutical company, develops and commercializes therapies for the treatment of ophthalmic diseases in the United States. Its lead product is KIO-301, a potential vision-restoring small molecule, which is in Phase 1 clinical trial that acts as a photoswitch to restore vision in patients with inherited and age-related degenerative retinal diseases. The company is also developing KIO-101, an eye drop that is in Phase 2 clinical trial for the treatment of ocular presentation of rheumatoid arthritis, as well as for treating non-infectious posterior uveitis; and KIO-201, an eye drop, which is in Phase 3 clinical trial for treating patients undergoing PRK surgery for corneal wound repair after refractive surgery. The company was formerly known as Eyegate Pharmaceuticals, Inc. and changed its name to Kiora Pharmaceuticals, Inc. in November 2021. Kiora Pharmaceuticals, Inc. was incorporated in 1998 and is headquartered in Encinitas, California."
2,CYAD,Celyad Oncology SA,Healthcare,Biotechnology,Belgium,36380000.0,,1.5,0.3276,14354264.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume', 'Double Top']",5,"Celyad Oncology SA, a clinical-stage biopharmaceutical company, focuses on the discovery and development of chimeric antigen receptor T (CAR-T) cell therapies for the treatment of cancer. Its lead product candidates include CYAD-101, an allogeneic CAR-T candidate that is in Phase 1b clinical trial for the treatment of metastatic colorectal cancer; CYAD-211, a short hairpin RNA (shRNA)-based allogeneic CAR-T candidate, which is in Phase 1 clinical trial to treat relapsed / refractory multiple myeloma; and CYAD-02, an autologous CAR-T candidate that is in Phase 1 clinical trial for the treatment of relapsed or refractory acute myeloid leukemia and myelodysplastic syndromes. The company's preclinical candidate includes CYAD-203, a non-gene edited allogeneic CAR-T candidate to co-express the cytokine interleukin-18 with natural killer group 2D ligands (NKG2D) for the treatment of solid tumors. It has licensing agreement with Novartis International AG regarding the United States patents related to allogeneic CAR-T cells; and research and development collaboration, and license agreements with Horizon Discovery Group plc for the use of its shRNA technology to generate second non-gene-edited allogeneic platform. The company was formerly known as Celyad SA and changed its name to Celyad Oncology SA in June 2020. Celyad Oncology SA was founded in 2004 and is headquartered in Mont-Saint-Guibert, Belgium."
3,ZH,Zhihu Inc.,Communication Services,Internet Content & Information,China,1520000000.0,,1.87,0.3169,24454355.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume']",4,"Zhihu Inc. operates an online content community in the People's Republic of China. Its community allows people to seek inspiration, find solutions, make decisions, and have fun. The company also offers technology, business support, and consulting services; information transmission, software, and information technology services; information and marketing services; vocational training; and internet services, as well as holds audio-visual permit. The company was founded in 2010 and is headquartered in Beijing, the People's Republic of China."
4,OSH,"Oak Street Health, Inc.",Healthcare,Medical Care Facilities,USA,8410000000.0,,33.68,0.2974,20351582.0,"['Top Gainers', 'New High', 'Most Active', 'Unusual Volume', 'Major News']",5,"Oak Street Health, Inc., together with its subsidiaries, offers healthcare services to the patients in the United States. The company operates primary care centers for Medicare beneficiaries. As of December 31, 2021, it operated 129 centers in 19 states, including Illinois, Michigan, Pennsylvania, Ohio, and Texas. The company was founded in 2012 and is headquartered in Chicago, Illinois."
5,GALT,Galectin Therapeutics Inc.,Healthcare,Biotechnology,USA,101160000.0,,1.88,0.2921,724639.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Overbought']",4,"Galectin Therapeutics Inc., a clinical stage biopharmaceutical company, engages in the research and development of therapies for fibrotic, cancer, and other diseases. The company's lead product candidate is belapectin (GR-MD-02) galectin-3 inhibitor, a galactoarabino-rhamnogalacturonan polysaccharide polymer that is in Phase III clinical trial for the treatment of liver fibrosis associated with fatty liver disease and non-alcoholic steatohepatitis cirrhosis, as well as for the treatment of cancer. It also engages in developing GM-CT-01, which is in pre-clinical development stage for the treatment of cardiac and vascular fibrosis, as well as focuses on developing belapectin for the treatment of psoriasis, and lung and kidney fibrosis. The company, through its Galectin Sciences, LLC, which is a collaborative joint venture co-owned by SBH Sciences, Inc., to research and development of small organic molecule inhibitors of galectin-3 for oral administration. The company was formerly known as Pro-Pharmaceuticals, Inc. and changed its name to Galectin Therapeutics, Inc. in May 2011. Galectin Therapeutics Inc. was founded in 2000 and is based in Norcross, Georgia."
6,QH,Quhuo Limited,Technology,Software - Application,China,9290000.0,,1.88,0.26170000000000004,495730.0,"['Top Gainers', 'Most Volatile']",2,"Quhuo Limited, through its subsidiaries, operates a workforce operational solution platform in the People's Republic of China. The company provides tech-enabled and end-to-end operational solutions to blue-chip on-demand consumer service businesses in industries with e-commerce exposure, including delivery, ride-hailing, housekeeping, and bike-sharing. It also offers on-demand delivery solutions for industry customers with focus on items, such as grocery, and prepared and fresh food; ride hailing solutions for ride-hailing companies; housekeeping solutions and other services for short-term rental properties and hotel cleaning services; and shared-bike maintenance solutions to address the demand for maintenance and distribution services from bike-sharing companies, as well as freight services. In addition, the company engages in the development of computer software and applications; and investment holding activities. Quhuo Limited was founded in 2012 and is based in Beijing, the People's Republic of China."
7,LCI,"Lannett Company, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,141020000.0,,3.25,0.255,152265.0,"['Top Gainers', 'Most Volatile']",2,"Lannett Company, Inc. develops, manufactures, packages, markets, and distributes generic versions of brand pharmaceutical products in the United States. The company offers solid oral and extended release, topical, liquid, nasal, and oral solution finished dosage forms of drugs that address a range of therapeutic areas, as well as ophthalmic, nasal, patch, foam, buccal, sublingual, suspensions, soft gel, injectable, and oral dosages. It also provides its products for various medical indications, such as analgesic, anti-psychosis, cardiovascular, central nervous system, endocrinology, gastrointestinal, infectious disease, migraine, respiratory/allergy/cough/cold, urinary, and others medical indications. The company's product portfolio includes Amphetamine IR tablets, Amphetamine ER capsules, Dicyclomine tablets, Fluphenazine tablets, Levothyroxine capsules, Methylphenidate CD capsules, Methylphenidate ER, Posaconazole DR tablets, Probenecid tablets, and Verapamil SR tablets, as well as Numbrino nasal solution. It sells its pharmaceutical products to generic pharmaceutical distributors, drug wholesalers, chain drug retailers, private label distributors, mail-order pharmacies, other pharmaceutical companies, managed care organizations, hospital buying groups, governmental entities, and health maintenance organizations. The company has supply and development agreements with Summit Bioscience LLC, Sinotherapeutics, Respirent Pharmaceuticals Co., Ltd., HEC Pharm Group, Dexcel Pharma, Elite Pharmaceuticals, RivoPharm, and various other companies. Lannett Company, Inc. was incorporated in 1942 and is headquartered in Trevose, Pennsylvania."
8,IVDA,"Iveda Solutions, Inc.",Industrials,Security & Protection Services,USA,29950000.0,,2.1,0.25,5119496.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Overbought', 'Multiple Bottom']",5,"Iveda Solutions, Inc. provides artificial intelligence (AI) and digital transformation technologies in the United States and Taiwan. The company offers IvedaAI, a deep-learning video analytics software; IvedaPinpoint, a solution that manages Bluetooth trackers and sensors, and displays them on a map for exact location; Sentir Video, a video surveillance solution for various kinds of applications; Cerebro, a software technology platform that integrates a multitude of disparate systems for central access and management of applications, subsystems, and devices; and IvedaSPS, a smart power solution. In addition, it offers AI intelligent video search, smart utility, smart sensors, gateways, trackers, and IoT platforms. It serves airports, commercial buildings, government customers, data centers, shopping centers, hotels, banks, and safe city projects. The company was founded in 2003 and is based in Mesa, Arizona."
9,LUCY,"Innovative Eyewear, Inc.",Healthcare,Medical Instruments & Supplies,USA,23810000.0,,3.12,0.2235,22665412.0,"['Top Gainers', 'Most Volatile', 'Most Active', 'Unusual Volume', 'Overbought']",5,"Innovative Eyewear, Inc. develops and sells smart eyeglasses and sunglasses. The company's flagship product is Lucyd Lyte glasses that enable the wearer to listen to music, take and make calls, and use voice assistants to perform various smartphone tasks hands-free. It also offers Vyrb, a social media application that enables the user to receive and send posts through Lucyd Lyte smart glasses with voice. The company sells its products through various e-commerce and retail distribution channels. Innovative Eyewear, Inc. has a partnership with Lucyd. The company was founded in 2019 and is headquartered in North Miami, Florida. Innovative Eyewear, Inc. operates as a subsidiary of Lucyd Ltd."
