Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
TSLA,"Tesla, Inc.",173.22,6.56,3.94,196231000.0,139788000.0,546.985,57.17
F,Ford Motor Company,13.51,0.62,4.81,82549000.0,52009000.0,54.317,6.2
SOFI,"SoFi Technologies, Inc.",6.93,0.25,3.74,68052000.0,45251000.0,5.541,
AI,"C3.ai, Inc.",19.85,3.55,21.78,62961000.0,2402000.0,2.188,
AMD,"Advanced Micro Devices, Inc.",75.15,2.7,3.73,68084000.0,62963000.0,121.169,47.87
AMZN,"Amazon.com, Inc.",103.13,2.58,2.57,66218000.0,82638000.0,1052.0,95.49
LCID,"Lucid Group, Inc.",11.69,-0.06,-0.51,50569000.0,32269000.0,21.373,7.59
SNAP,Snap Inc.,11.56,0.47,4.24,55814000.0,29787000.0,18.647,
NIO,NIO Inc.,12.07,0.05,0.42,45299000.0,55790000.0,20.367,
NVDA,NVIDIA Corporation,195.37,3.75,1.96,49513000.0,46723000.0,486.862,52.39
AAPL,Apple Inc.,144.29,1.29,0.9,60339000.0,78324000.0,2285.0,23.62
GM,General Motors Company,39.32,3.03,8.35,46964000.0,13444000.0,55.862,7.0
PFE,Pfizer Inc.,44.16,0.61,1.4,49474000.0,21567000.0,247.884,8.46
PLTR,Palantir Technologies Inc.,7.78,0.41,5.56,40441000.0,32881000.0,16.184,
INTC,Intel Corporation,28.26,0.31,1.11,49137000.0,38284000.0,116.912,14.57
BAC,Bank of America Corporation,35.48,0.18,0.51,35315000.0,38748000.0,283.726,11.12
T,AT&T Inc.,20.37,0.21,1.04,36303000.0,38824000.0,145.197,8.42
APE,"AMC Entertainment Holdings, Inc.",2.42,0.09,3.86,35942000.0,29289000.0,4.82,
NU,Nu Holdings Ltd.,4.65,0.25,5.68,32990000.000000004,27264000.0,21.788,
RIVN,"Rivian Automotive, Inc.",19.4,1.36,7.54,31513000.0,20091000.0,17.138,
SIRI,Sirius XM Holdings Inc.,5.79,-0.08,-1.36,29965000.0,13728000.0,22.712,19.97
META,"Meta Platforms, Inc.",148.97,1.91,1.3,29578000.0,36642000.0,390.629,14.66
HBAN,Huntington Bancshares Incorporated,15.17,0.33,2.22,29536000.0,14871000.0,21.891,10.46
CCL,Carnival Corporation & plc,10.82,0.18,1.69,28679000.0,48686000.0,14.062,
XOM,Exxon Mobil Corporation,116.01,2.45,2.16,27823000.0,17155000.0,477.763,9.47
PARA,Paramount Global,23.16,0.55,2.43,27166000.0,12768000.0,15.182,5.28
ABEV,Ambev S.A.,2.66,0.04,1.53,26492000.0,26430000.0,43.047,16.62
LUMN,"Lumen Technologies, Inc.",5.25,0.11,2.14,25281000.0,24339000.0,5.432,2.71
CMCSA,Comcast Corporation,39.35,0.11,0.28,26002000.0,23362000.0,170.126,32.52
HPE,Hewlett Packard Enterprise Company,16.13,0.12,0.75,24130000.0,13670000.0,20.676,24.44
WBD,"Warner Bros. Discovery, Inc.",14.82,0.44,3.06,23412000.0,29664000.0,35.989,8.19
WFC,Wells Fargo & Company,46.87,0.58,1.25,22811000.0,18672000.0,179.69,14.93
AGNC,AGNC Investment Corp.,11.6,0.32,2.84,22641000.0,11481000.0,6.631,
XPEV,XPeng Inc.,10.64,0.62,6.19,21697000.0,32472000.0,9.18,
SHOP,Shopify Inc.,49.27,2.08,4.41,21281000.0,21694000.0,62.676,379.0
AMC,"AMC Entertainment Holdings, Inc.",5.35,0.34,6.79,21663000.0,29305000.0,2.746,
PBR,Petróleo Brasileiro S.A. - Petrobras,11.6,0.32,2.84,21130000.0,33030000.0,75.656,2.22
GOOGL,Alphabet Inc.,98.84,1.9,1.96,27301000.0,32171000.0,1286.0,20.13
BBD,Banco Bradesco S.A.,2.79,0.09,3.33,19988000.0,44076000.0,29.737,6.07
MU,"Micron Technology, Inc.",60.3,-1.41,-2.28,23156000.0,15487000.0,65.798,10.9
FLO,"Flowers Foods, Inc.",27.69,0.68,2.52,19492000.0,1623000.0,5.846,26.88
PTON,"Peloton Interactive, Inc.",12.93,0.43,3.44,20328000.0,12166000.0,4.397,
PLUG,Plug Power Inc.,17.02,1.31,8.34,20407000.0,17216000.0,9.921,
VZ,Verizon Communications Inc.,41.57,0.52,1.27,18528000.0,23756000.0,174.587,8.22
DNA,"Ginkgo Bioworks Holdings, Inc.",1.95,0.13,7.14,18134000.0,23068000.0,4.004,
KEY,KeyCorp,19.19,0.43,2.29,17401000.0,10985000.0,17.911,9.99
AAL,American Airlines Group Inc.,16.14,0.18,1.13,19824000.0,27980000.0,10.501,89.67
AFRM,"Affirm Holdings, Inc.",16.19,1.09,7.22,17264000.0,16741000.0,4.698,
IQ,"iQIYI, Inc.",6.7,-0.22,-3.18,17148000.0,20182000.0,6.34,
CS,Credit Suisse Group AG,3.51,0.08,2.33,17153000.0,19978000.0,13.905,
RIG,Transocean Ltd.,6.74,0.25,3.85,17426000.0,23014000.0,4.866,
GOOG,Alphabet Inc.,99.87,1.92,1.96,22255000.0,26324000.0,1286.0,20.09
NOK,Nokia Oyj,4.76,0.02,0.42,16807000.0,19769000.0,26.931,5.8
BEN,"Franklin Resources, Inc.",31.2,-0.06,-0.19,14894000.0,3552000.0,15.609,15.92
CSCO,"Cisco Systems, Inc.",48.67,0.45,0.93,16821000.0,18208000.0,199.941,17.57
MSFT,Microsoft Corporation,247.81,5.1,2.1,22301000.0,30265000.0,1845.0,27.53
IBN,ICICI Bank Limited,20.83,0.59,2.92,16447000.0,8327999.999999999,72.674,19.65
NEE,"NextEra Energy, Inc.",74.63,-0.42,-0.56,18980000.0,6833000.0,148.302,35.71
KMI,"Kinder Morgan, Inc.",18.3,0.26,1.44,15152000.0,14098000.0,41.134,16.34
PYPL,"PayPal Holdings, Inc.",81.49,1.85,2.32,15719000.0,14898000.0,92.901,42.01
BABA,Alibaba Group Holding Limited,110.2,-1.0,-0.9,15256000.0,24713000.0,292.242,157.43
UBER,"Uber Technologies, Inc.",30.93,1.3,4.39,15251000.0,21567000.0,61.687,
NYCB,"New York Community Bancorp, Inc.",9.99,0.32,3.31,15209000.0,11302000.0,6.805,8.12
ITUB,Itaú Unibanco Holding S.A.,4.98,0.15,3.11,14919000.0,39540000.0,48.808,8.59
GOLD,Barrick Gold Corporation,19.55,0.07,0.36,14863000.0,20174000.0,34.638,18.27
COIN,"Coinbase Global, Inc.",58.48,2.32,4.13,14705000.0,16288000.0,15.316,5.98
LU,Lufax Holding Ltd,3.05,0.09,3.04,14506000.0,19849000.0,6.972,3.96
GRAB,Grab Holdings Limited,3.79,0.08,2.16,14381000.0,17055000.0,14.597,
KO,The Coca-Cola Company,61.32,0.68,1.12,14194000.0,12497000.0,265.179,26.89
VALE,Vale S.A.,18.68,0.17,0.92,14278000.0,29003000.0,87.996,4.81
GLW,Corning Incorporated,34.61,-1.78,-4.89,14059000.0,4013000.0,29.274,16.1
SWN,Southwestern Energy Company,5.52,0.12,2.22,14408000.0,22818000.0,6.092,2.33
LAC,Lithium Americas Corp.,25.23,3.24,14.73,13958000.0,2035000.0000000002,3.406,
AUY,Yamana Gold Inc.,6.03,0.03,0.5,13614000.0,19474000.0,5.844,22.33
TSM,Taiwan Semiconductor Manufacturing Company Limited,92.73,-0.4,-0.43,13328000.0,15155000.0,480.898,14.24
ET,Energy Transfer LP,13.28,0.18,1.37,13111000.0,14557000.0,41.015,9.91
KGC,Kinross Gold Corporation,4.64,0.01,0.22,13076000.0,16532000.0,6.013,19.33
KOS,Kosmos Energy Ltd.,7.91,-0.01,-0.13,12729000.0,5533000.0,3.606,8.24
SCHW,The Charles Schwab Corporation,77.42,1.92,2.54,12526000.0,7691000.0,144.523,22.12
C,Citigroup Inc.,52.22,0.47,0.91,12511000.0,17733000.0,101.142,7.34
WBA,"Walgreens Boots Alliance, Inc.",36.86,0.33,0.9,12114000.0,6375000.0,31.792,7.33
DIDIY,DiDi Global Inc.,4.52,0.26,6.1,11897000.0,14553000.0,21.94,
CSX,CSX Corporation,30.92,1.04,3.48,14882000.0,13639000.0,65.007,15.86
JNJ,Johnson & Johnson,163.42,1.42,0.88,11501000.0,6837000.0,427.258,24.28
V,Visa Inc.,230.21,1.11,0.48,11293000.0,6737000.0,483.853,32.15
FTCH,Farfetch Limited,6.82,-0.02,-0.29,11190000.0,17323000.0,2.601,
CAT,Caterpillar Inc.,252.29,-9.21,-3.52,10979000.0,3113000.0,131.294,18.36
FCX,Freeport-McMoRan Inc.,44.62,0.64,1.46,10926000.0,13266000.0,64.995,18.99
CVX,Chevron Corporation,174.02,-0.18,-0.1,10901000.0,8009000.0,336.492,9.52
FITB,Fifth Third Bancorp,36.29,0.49,1.37,10742000.0,4856000.0,24.8,10.93
ROKU,"Roku, Inc.",57.5,3.5,6.48,11096000.0,7703000.0,8.008,48.73
DKNG,DraftKings Inc.,14.99,0.34,2.32,11196000.0,15525000.0,6.728,
IP,International Paper Company,41.82,4.03,10.66,10587000.0,3066000.0,14.874,8.0
UMC,United Microelectronics Corporation,8.13,0.21,2.65,10462000.0,8739000.0,20.765,7.67
U,Unity Software Inc.,35.52,2.09,6.25,10374000.0,12557000.0,14.316,
LYFT,"Lyft, Inc.",16.25,0.7,4.5,10267000.0,15729000.0,5.865,
KIM,Kimco Realty Corporation,22.46,0.35,1.58,9702000.0,4042000.0,13.891,77.45
VFC,V.F. Corporation,30.94,0.82,2.72,10102000.0,6099000.0,12.022,28.65
CLF,Cleveland-Cliffs Inc.,21.35,0.13,0.61,9855000.0,12368000.0,11.002,4.72
MCHP,Microchip Technology Incorporated,77.62,1.94,2.56,9729000.0,4585000.0,42.692,23.66
SPOT,Spotify Technology S.A.,112.72,12.72,12.72,9588000.0,1771000.0,21.77,
MRVL,"Marvell Technology, Inc.",43.15,1.16,2.76,9433000.0,11502000.0,36.816,
BMY,Bristol-Myers Squibb Company,72.65,0.62,0.86,9372000.0,8885000.0,154.466,23.66
BSX,Boston Scientific Corporation,46.25,0.44,0.96,9292000.0,6246000.0,66.244,112.8
CRK,"Comstock Resources, Inc.",12.15,0.41,3.49,9884000.0,3666000.0,2.84,3.38
NWL,Newell Brands Inc.,15.96,0.24,1.53,8892000.0,4245000.0,6.601,11.82
PCG,PG&E Corporation,15.9,0.05,0.32,8391000.0,15021000.0,33.751,18.71
PINS,"Pinterest, Inc.",26.29,0.37,1.43,9702000.0,11015000.0,18.395,292.11
WMB,"The Williams Companies, Inc.",32.24,1.21,3.9,11977000.0,6372000.0,39.887,19.9
TME,Tencent Music Entertainment Group,8.39,0.07,0.84,8579000.0,12465000.0,14.345,31.07
OXY,Occidental Petroleum Corporation,64.79,0.66,1.03,10145000.0,12533000.0,58.889,5.58
S,"SentinelOne, Inc.",15.09,0.5,3.43,8411000.0,4751000.0,4.266,
MRO,Marathon Oil Corporation,27.47,0.38,1.4,10003000.0,10635000.0,17.445,5.27
ERIC,Telefonaktiebolaget LM Ericsson (publ),5.77,0.02,0.35,8314000.0,10481000.0,19.842,10.69
SQ,"Block, Inc.",81.72,1.93,2.42,8754000.0,12761000.0,48.874,
D,"Dominion Energy, Inc.",63.64,0.95,1.52,8193000.0,5906000.0,53.03,29.74
BB,BlackBerry Limited,4.25,0.03,0.71,8146000.000000001,7149000.0,2.482,
CFLT,"Confluent, Inc.",23.1,0.07,0.3,8148000.0,3245000.0,6.616,
HAS,"Hasbro, Inc.",59.17,0.93,1.6,8144000.0,1743000.0,8.172,19.86
PR,Permian Resources Corporation,10.87,0.66,6.46,8106999.999999999,6117000.0,6.063,5.81
RBLX,Roblox Corporation,37.21,1.68,4.73,8074999.999999999,14341000.0,22.356,
CVS,CVS Health Corporation,88.22,1.17,1.34,8026999.999999999,7333000.0,115.918,37.54
NLY,"Annaly Capital Management, Inc.",23.47,0.57,2.49,7893000.0,6709000.0,10.981,3.13
BP,BP p.l.c.,36.23,0.06,0.17,8020000.0,8252000.000000001,110.065,
LAZR,"Luminar Technologies, Inc.",6.67,0.47,7.58,8010999.999999999,7352000.0,2.42,
