Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
Shoquist Debora,"EVP, Operations",Jan 27,Sale,205.0,23532.0,4824060.0,162944.0,Jan 27 09:00 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581023000008/xslF345X03/wf-form4_167487118994414.xml,1283854
Kress Colette,EVP & Chief Financial Officer,Jan 26,Sale,200.0,10741.0,2148200.0,536960.0,Jan 27 07:15 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581023000006/xslF345X03/wf-form4_167486488448198.xml,1588670
STEVENS MARK A,Director,Jan 13,Sale,167.42,20000.0,3348400.0,1170888.0,Jan 17 04:15 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581023000004/xslF345X03/wf-form4_167399011794948.xml,1199039
STEVENS MARK A,Director,Jan 12,Sale,164.7,45000.0,7411500.0,1190888.0,Jan 17 04:15 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581023000004/xslF345X03/wf-form4_167399011794948.xml,1199039
STEVENS MARK A,Director,Jan 10,Sale,157.92,90000.0,14212800.0,1235888.0,Jan 11 07:36 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581023000002/xslF345X03/wf-form4_167348377750508.xml,1199039
STEVENS MARK A,Director,Jan 09,Sale,158.84,120000.0,19061100.0,1325888.0,Jan 11 07:36 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581023000002/xslF345X03/wf-form4_167348377750508.xml,1199039
STEVENS MARK A,Director,Dec 21,Sale,165.09,60000.0,9905486.0,2250193.0,Dec 22 04:02 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581022000193/xslF345X03/wf-form4_167174295683123.xml,1199039
Dabiri John,Director,Dec 19,Sale,165.8,293.0,48579.0,2417.0,Dec 19 06:51 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581022000191/xslF345X03/wf-form4_167149387294827.xml,1818224
Robertson Donald F Jr,Principal Accounting Officer,Dec 15,Sale,167.89,2494.0,418718.0,56617.0,Dec 16 04:24 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581022000188/xslF345X03/wf-form4_167122582434301.xml,1526111
HUANG JEN HSUN,President and CEO,Dec 13,Option Exercise,4.0,237500.0,950000.0,7782991.0,Dec 14 06:29 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581022000177/xslF345X03/wf-form4_167106053996910.xml,1197649
HUANG JEN HSUN,President and CEO,Dec 08,Option Exercise,4.0,237500.0,950000.0,7545491.0,Dec 09 05:29 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581022000175/xslF345X03/wf-form4_167062493640126.xml,1197649
HUANG JEN HSUN,President and CEO,Nov 29,Option Exercise,3.15,490897.0,1548780.0,7307991.0,Dec 01 05:36 PM,http://www.sec.gov/Archives/edgar/data/1045810/000104581022000173/xslF345X03/wf-form4_166993417765849.xml,1197649
